especievalida,nombrecomun,estadomapa,ambiente,validacionambiente,longitud,latitud
Sula sula,bobo patas rojas,JALISCO,Marino; Salobre,Válido,-105.5630977,20.4877164
Tyto alba,lechuza de campanario,JALISCO,Terrestre,Válido,-102.2432374,21.4895951
Aeronautes saxatalis,vencejo pecho blanco,JALISCO,Terrestre,Válido,-102.5266667,20.5416667
Aeronautes saxatalis saxatalis,vencejo pecho blanco,JALISCO,Terrestre,Válido,-101.8683333,21.8183333
Amazona autumnalis,loro cachetes amarillos,JALISCO,Terrestre,Válido,-103.3318417,20.6857843
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",JALISCO,Terrestre,Válido,-104.306109,19.614186
Basileuterus culicivorus,"chipe cejas negras, chipe corona dorada",JALISCO,Terrestre,Válido,-103.5403837,19.53381
Campylorhynchus megalopterus,matraca barrada,JALISCO,Terrestre,Válido,-103.518863,19.533456
Cardinalis sinuatus,"cardenal desértico, cardenal pardo",JALISCO,Terrestre,Válido,-103.2832499,20.404625
Cassiculus melanicterus,cacique mexicano,JALISCO,Terrestre,Válido,-104.0422023,20.1939552
Charadrius collaris,chorlo de collar,JALISCO,Dulceacuícola; Marino; Salobre,Válido,-105.408311,19.880118
Chloroceryle amazona,martín pescador amazónico,JALISCO,Dulceacuícola,Válido,-105.5366667,20.1033333
Colaptes auricularis,carpintero corona gris,JALISCO,Terrestre,Válido,-103.5403837,19.53381
Columbina inca,"tortolita cola larga, tórtola cola larga",JALISCO,Terrestre,Válido,-103.4526797,19.5901715
Columbina passerina,"tortolita pico corto, tortolita pico rojo, tórtola coquita",JALISCO,Terrestre,Válido,-103.9684724,20.7404222
Dendrortyx macroura,codorniz coluda transvolcánica,JALISCO,Terrestre,Válido,-103.518863,19.533456
Empidonax affinis affinis,mosquero pinero,JALISCO,Terrestre,Válido,-103.6083333,19.5633333
Geococcyx californianus,correcaminos norteño,JALISCO,Terrestre,Válido,-101.6027778,21.9083333
Glaucidium brasilianum,tecolote bajeño,JALISCO,Terrestre,Válido,-105.1196864,20.753688
Granatellus venustus,granatelo mexicano,JALISCO,Terrestre,Válido,-105.1968451,20.578658
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",JALISCO,Terrestre,Válido,-103.2419,20.29925
Icterus wagleri,"bolsero de Wagler, calandria de Wagler",JALISCO,Terrestre,Válido,-103.2419,20.29925
Lampornis clemenciae,colibrí garganta azul,JALISCO,Terrestre,Válido,-101.905426,21.418235
Megascops trichopsis,tecolote rítmico,JALISCO,Terrestre,Válido,-103.5403837,19.53381
Melanerpes chrysogenys,carpintero enmascarado,JALISCO,Terrestre,Válido,-105.1196864,20.753688
Melanerpes formicivorus,carpintero bellotero,JALISCO,Terrestre,Válido,-103.518863,19.533456
Momotus mexicanus mexicanus,momoto corona café,JALISCO,Terrestre,Válido,-103.3333333,20.855
Myioborus miniatus,"chipe de montaña, pavito alas negras",JALISCO,Terrestre,Válido,-104.306109,19.614186
Myiozetetes similis,"Luis gregario, luisito común",JALISCO,Terrestre,Válido,-105.1196864,20.753688
Ortalis wagleri,chachalaca vientre castaño,JALISCO,Terrestre,Válido,-105.2638288,20.5539649
Peucaea botterii,zacatonero de Botteri,JALISCO,Terrestre,Válido,-104.3320084,19.8290484
Pheucticus chrysopeplus,picogordo amarillo,JALISCO,Terrestre,Válido,-105.1196864,20.753688
Piaya cayana,"cuclillo canela, cuclillo canelo",JALISCO,Terrestre,Válido,-103.2418089,20.7201521
Pipilo ocai,"rascador de collar, toquí de collar",JALISCO,Terrestre,Válido,-104.306109,19.614186
Piranga bidentata,"piranga dorso rayado, tangara dorso rayado",JALISCO,Terrestre,Válido,-104.1963959,21.0386848
Polioptila albiloris,perlita pispirria,JALISCO,Terrestre,Válido,-105.0444031,19.4984884
Polioptila nigriceps,perlita sinaloense,JALISCO,Terrestre,Válido,-104.0323447,20.7115695
Quiscalus mexicanus,zanate mayor,JALISCO,Terrestre,Válido,-103.389442,20.657566
Ramphotrigon flammulatum,"papamoscas jaspeado, papamoscas mexicano",JALISCO,Terrestre,Válido,-104.8519446,20.7609876
Salpinctes obsoletus,"chivirín saltarroca, saltapared de rocas",JALISCO,Terrestre,Válido,-103.5403837,19.53381
Saucerottia beryllina,colibrí berilo,JALISCO,Terrestre,Válido,-105.1196864,20.753688
Streptoprocne semicollaris,vencejo nuca blanca,JALISCO,Terrestre,Válido,-105.3681564,20.5030412
Thryomanes bewickii,"chivirín cola oscura, saltapared cola larga",JALISCO,Terrestre,Válido,-103.3946993,20.7082516
Tigrisoma mexicanum,garza tigre mexicana,JALISCO,Dulceacuícola,Válido,-105.1474214,20.013718
Tilmatura dupontii,colibrí cola pinta,JALISCO,Terrestre,Válido,-104.8519446,20.7609876
Toxostoma longirostre,cuicacoche pico largo,JALISCO,Terrestre,Válido,-103.3133333,20.665
Turdus assimilis,mirlo garganta blanca,JALISCO,Terrestre,Válido,-104.8530506,20.7615802
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",JALISCO,Terrestre,Válido,-103.518863,19.533456
Tyrannus melancholicus,"tirano melancólico, tirano pirirí, tirano tropical",JALISCO,Terrestre,Válido,-103.2419,20.29925
Vireo brevipennis,vireo pizarra,JALISCO,Terrestre,Válido,-103.2216167,20.3265589
Xenotriccus mexicanus,mosquero del Balsas,JALISCO,Terrestre,Válido,-104.7283745,19.3398154
Xiphorhynchus flavigaster,trepatroncos bigotudo,JALISCO,Terrestre,Válido,-105.1196864,20.753688
Buteogallus solitarius,águila solitaria,MEXICO,Terrestre,Válido,-100.0356165,19.0435058
Caracara plancus cheriway,caracara quebrantahuesos,MEXICO,Terrestre,Válido,-99.8138862,20.1183972
Coragyps atratus,zopilote común,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Corvus corax,cuervo común,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Dryobates villosus,"carpintero albinegro mayor, carpintero velloso-mayor",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Geococcyx velox,correcaminos tropical,MEXICO,Terrestre,Válido,-100.1559162,19.2247324
Grallaria guatimalensis,hormiguero cholino escamoso,MEXICO,Terrestre,Válido,-100.0413889,19.0433333
Harpagus bidentatus,gavilán bidentado,MEXICO,Terrestre,Válido,-100.1426339,19.1655392
Icterus gularis,"bolsero de Altamira, calandria dorso negro mayor",MEXICO,Terrestre,Válido,-99.0580213,19.5911281
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Junco phaeonotus phaeonotus,junco ojo de lumbre,MEXICO,Terrestre,Válido,-98.85,19.15
Myioborus miniatus miniatus,chipe de montaña,MEXICO,Terrestre,Válido,-100.04,19.0433333
Nannopterum brasilianum,"cormorán neotropical, cormorán oliváceo",MEXICO,Dulceacuícola; Marino; Salobre,Válido,-99.1281833,19.7579783
Oreothlypis superciliosa,"chipe cejas blancas, parula ceja blanca",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Parabuteo unicinctus,aguililla rojinegra,MEXICO,Terrestre,Válido,-98.8679914,19.4905512
Peucaea botterii,zacatonero de Botteri,MEXICO,Terrestre,Válido,-99.8870937,20.1947568
Peucaea humeralis,zacatonero pecho negro,MEXICO,Terrestre,Válido,-99.6651927,18.7900184
Peucaea ruficauda,zacatonero corona rayada,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Poecile sclateri sclateri,carbonero mexicano,MEXICO,Terrestre,Válido,-98.9733333,19.1766667
Psaltriparus minimus,sastrecillo,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Streptopelia decaocto,"paloma de collar turca, tórtola de collar",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Sturnus vulgaris,estornino pinto,MEXICO,Terrestre,Válido,-99.8870937,20.1947568
Turdus assimilis,mirlo garganta blanca,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Tyrannus melancholicus,"tirano melancólico, tirano pirirí, tirano tropical",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Xiphorhynchus flavigaster,trepatroncos bigotudo,MEXICO,Terrestre,Válido,-100.1155329,19.1790576
Aegolius acadicus,"tecolote afilador, tecolote oyamelero norteño",MEXICO,Terrestre,Válido,-99.7677215,19.1744562
Aphelocoma ultramarina,"chara pecho gris neovolcánica, chara transvolcánica",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Atlapetes pileatus,"atlapetes gorra rufa, rascador gorra canela",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Camptostoma imberbe,"mosquerito chillón, mosquero lampiño",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Cardinalis cardinalis,cardenal rojo,MEXICO,Terrestre,Válido,-99.0575476,19.5922475
Catherpes mexicanus,"chivirín barranqueño, saltapared barranqueño",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Chloroceryle americana,martín pescador verde,MEXICO,Dulceacuícola,Válido,-99.5933286,18.8629832
Chlorophonia elegantissima,"eufonia capucha azul, eufonia gorra azul",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Columba livia,paloma doméstica,MEXICO,Terrestre,Válido,-99.4973373,19.1531034
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",MEXICO,Dulceacuícola,Válido,-99.1679192,19.5167575
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",MEXICO,Dulceacuícola; Terrestre,Válido,-99.4973373,19.1531034
Granatellus venustus,granatelo mexicano,MEXICO,Terrestre,Válido,-100.212564,18.88939
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",MEXICO,Terrestre,Válido,-100.0413889,19.0433333
Lepidocolaptes leucogaster leucogaster,trepatroncos escarchado,MEXICO,Terrestre,Válido,-100.04,19.0433333
Megaceryle torquata,martín pescador de collar,MEXICO,Dulceacuícola,Válido,-100.281028,18.674335
Meleagris gallopavo,guajolote norteño,MEXICO,Terrestre,Válido,-100.1205942,19.1984775
Mitrephanes phaeocercus phaeocercus,mosquero copetón,MEXICO,Terrestre,Válido,-100.04,19.0433333
Myiopagis viridicata,"elenia verdosa, mosquerito verdoso",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Pheucticus chrysopeplus,picogordo amarillo,MEXICO,Terrestre,Válido,-99.111326,19.6190786
Ramosomyia violiceps,colibrí corona violeta,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Spinus notatus,"jilguerito encapuchado, jilguero encapuchado",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Spinus psaltria psaltria,jilguero dominico,MEXICO,Terrestre,Válido,-100.04,19.0433333
Streptoprocne semicollaris,vencejo nuca blanca,MEXICO,Terrestre,Válido,-98.7364282,19.2106057
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",MEXICO,Terrestre,Válido,-99.7333,19.4833
Xiphorhynchus erythropygius,"trepatroncos manchado, trepatroncos moteado",MEXICO,Terrestre,Válido,-100.4113889,18.8283333
Amazona albifrons,loro frente blanca,MEXICO,Terrestre,Válido,-99.0127289,19.599775
Asio stygius,búho cara oscura,MEXICO,Terrestre,Válido,-99.315,19.04833
Basileuterus belli belli,chipe ceja dorada,MEXICO,Terrestre,Válido,-98.6333333,19.1
Buteo brachyurus,aguililla cola corta,MEXICO,Terrestre,Válido,-99.477575,18.9845633
Calocitta colliei,"urraca cara negra, urraca-hermosa cara negra",MEXICO,Terrestre,Válido,-99.0542025,19.5925239
Calocitta formosa,"urraca cara blanca, urraca-hermosa cara blanca",MEXICO,Terrestre,Válido,-99.22779,19.595437
Campylorhynchus gularis,matraca serrana,MEXICO,Terrestre,Válido,-99.7747421,19.1110448
Cardellina rubra,chipe rojo,MEXICO,Terrestre,Válido,-99.319866,19.050972
Cyanocorax yucatanicus,chara yucateca,MEXICO,Terrestre,Válido,-98.90411,19.475815
Dendrortyx macroura,codorniz coluda transvolcánica,MEXICO,Terrestre,Válido,-98.8167439,19.3289959
Diglossa baritula,"picaflor canelo, picochueco vientre canela",MEXICO,Terrestre,Válido,-99.36667,19.28333
Empidonax affinis,"mosquero pinero, papamoscas pinero",MEXICO,Terrestre,Válido,-99.7677215,19.1744562
Eugenes fulgens,colibrí magnífico,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Glaucidium palmarum,tecolote colimense,MEXICO,Terrestre,Válido,-100.3323333,18.6906667
Jacana spinosa,jacana norteña,MEXICO,Dulceacuícola,Válido,-99.499313,19.3599892
Megarynchus pitangua,Luis pico grueso,MEXICO,Terrestre,Válido,-100.0413889,19.0433333
Megascops kennicottii,"tecolote del oeste, tecolote occidental",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Myioborus pictus,"chipe ala blanca, pavito alas blancas",MEXICO,Terrestre,Válido,-98.7364282,19.2106057
Passerina rositae,colorín azulrosa,MEXICO,Terrestre,Válido,-99.510948,19.32077
Salpinctes obsoletus,"chivirín saltarroca, saltapared de rocas",MEXICO,Terrestre,Válido,-99.334416,19.61923
Saucerottia cyanocephala,colibrí corona azul,MEXICO,Terrestre,Válido,-99.4779969,18.9419994
Sporophila torqueola,"semillero de collar, semillero rabadilla canela",MEXICO,Terrestre,Válido,-98.8679914,19.4905512
Thryomanes bewickii,"chivirín cola oscura, saltapared cola larga",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Thryophilus pleurostictus,"chivirín barrado, saltapared barrado",MEXICO,Terrestre,Válido,-99.6651927,18.7900184
Toxostoma curvirostre,cuicacoche pico curvo,MEXICO,Terrestre,Válido,-99.4973373,19.1531034
Turdus rufopalliatus,"mirlo dorso canela, mirlo dorso rufo",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Baeolophus wollweberi,carbonero embridado,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",MEXICO,Terrestre,Válido,-100.4166666,18.85
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Campylorhynchus brunneicapillus,matraca del desierto,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Charadrius collaris,chorlo de collar,MEXICO,Dulceacuícola; Marino; Salobre,Válido,-100.1572037,19.1975398
Cynanthus latirostris,colibrí pico ancho,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Dryobates stricklandi,"carpintero de Strickland, carpintero transvolcánico",MEXICO,Terrestre,Válido,-99.7747421,19.1110448
Eremophila alpestris,alondra cornuda,MEXICO,Terrestre,Válido,-99.4973373,19.1531034
Lampornis amethystinus,colibrí garganta amatista,MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Lamprolaima rhami,"colibrí ala castaña, colibrí multicolor",MEXICO,Terrestre,Válido,-100.0413889,19.0433333
Lepidocolaptes leucogaster,"trepatroncos escarchado, trepatroncos mexicano",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Leptotila verreauxi,paloma arroyera,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Melanerpes hypopolius,"carpintero del balsas, carpintero pecho gris",MEXICO,Terrestre,Válido,-100.1212535,19.167237
Mimus gilvus,centzontle tropical,MEXICO,Terrestre,Válido,-99.609375,19.5466986
Myiopsitta monachus,perico monje argentino,MEXICO,Terrestre,Válido,-98.8679914,19.4905512
Myiozetetes similis,"Luis gregario, luisito común",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Pachyramphus aglaiae,"cabezón degollado, mosquero-cabezón degollado",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Pachyramphus major,"cabezón mexicano, mosquero-cabezón mexicano",MEXICO,Terrestre,Válido,-100.04,19.0433333
Phaeoptila sordida,"colibrí opaco, colibrí oscuro",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Phalaenoptilus nuttallii,"tapacamino tevíi, tapacaminos pandeagua",MEXICO,Terrestre,Válido,-99.1196582,20.0073984
Pipilo ocai,"rascador de collar, toquí de collar",MEXICO,Terrestre,Válido,-99.2919444,19.135
Piranga flava,"piranga encinera, tangara encinera",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Pitangus sulphuratus,Luis bienteveo,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Polioptila albiloris,perlita pispirria,MEXICO,Terrestre,Válido,-100.0069302,19.0386649
Rupornis magnirostris,aguililla caminera,MEXICO,Terrestre,Válido,-99.760863,19.564854
Saucerottia beryllina,colibrí berilo,MEXICO,Terrestre,Válido,-98.8679914,19.4905512
Strix virgata,búho café,MEXICO,Terrestre,Válido,-100.0106617,19.0350583
Toxostoma curvirostre curvirostre,cuitlacoche pico curvo,MEXICO,Terrestre,Válido,-99.9766667,20.0216667
Xenospiza baileyi,gorrión serrano,MEXICO,Terrestre,Válido,-98.952865,19.123526
Aeronautes saxatalis,vencejo pecho blanco,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Arremon virenticeps,"atlapetes rayas verdes, rascador cejas verdes",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Attila spadiceus,"Atila, mosquero atila",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Baeolophus atricristatus,carbonero cresta negra,MEXICO,Terrestre,Válido,-100.0066667,19.2633333
Bubo virginianus,búho cornudo,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Campylorhynchus jocosus,matraca del Balsas,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Coturnicops noveboracensis,polluela amarilla,MEXICO,Dulceacuícola,Válido,-99.51,19.1383333
Crotophaga sulcirostris,garrapatero pijuy,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Cypseloides storeri,"vencejo cara blanca, vencejo frente blanca",MEXICO,Terrestre,Válido,-100.0429373,19.0444481
Geothlypis poliocephala,mascarita pico grueso,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Henicorhina leucophrys,"chivirín pecho gris, saltapared pecho gris",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Lampornis clemenciae,colibrí garganta azul,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Loxia curvirostra,picotuerto rojo,MEXICO,Terrestre,Válido,-99.36667,19.28333
Megascops trichopsis,tecolote rítmico,MEXICO,Terrestre,Válido,-99.893254,19.2048843
Melanerpes aurifrons,carpintero cheje,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Melanotis caerulescens,mulato azul,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Melozone fusca,"rascador viejita, toquí pardo",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Mitrephanes phaeocercus,"mosquero copetón, papamoscas copetón",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Myioborus pictus pictus,chipe ala blanca,MEXICO,Terrestre,Válido,-100.04,19.0433333
Oriturus superciliosus,"zacatonero rayado, zacatonero serrano",MEXICO,Terrestre,Válido,-99.4973373,19.1531034
Philortyx fasciatus,"codorniz barrada, codorniz rayada",MEXICO,Terrestre,Válido,-99.6651927,18.7900184
Phoenicopterus ruber,flamenco americano,MEXICO,Dulceacuícola; Salobre,Válido,-98.9742851,19.4764215
Piranga erythrocephala,"piranga cabeza roja, tangara cabeza roja",MEXICO,Terrestre,Válido,-100.0429373,19.0444481
Ptiliogonys cinereus,capulinero gris,MEXICO,Terrestre,Válido,-99.4516898,19.2228689
Spinus psaltria,"jilguerito dominico, jilguero dominico",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Turdus grayi,"mirlo café, mirlo pardo",MEXICO,Terrestre,Válido,-99.1770683,19.96993
Vireo huttoni,vireo reyezuelo,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Vireo hypochryseus,"vireo amarillo, vireo dorado",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Aphelocoma woodhouseii,chara de collar,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Atlapetes pileatus pileatus,atlapetes gorra rufa,MEXICO,Terrestre,Válido,-98.77,19.1233333
Calothorax pulcher,"colibrí mixteco, colibrí tijereta oaxaqueño",MEXICO,Terrestre,Válido,-98.8816667,19.5133333
Campylorhynchus megalopterus,matraca barrada,MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Coccothraustes vespertinus,picogrueso norteño,MEXICO,Terrestre,Válido,-99.505806,19.122159
Columbina passerina,"tortolita pico corto, tortolita pico rojo, tórtola coquita",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Contopus pertinax,"papamoscas José María, pibí tengofrío",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Cynanthus auriceps,"esmeralda mexicana, esmeralda occidental",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Cyrtonyx montezumae,codorniz de Moctezuma,MEXICO,Terrestre,Válido,-99.7677215,19.1744562
Glaucidium gnoma,tecolote serrano,MEXICO,Terrestre,Válido,-99.3124349,18.9976411
Haemorhous mexicanus,pinzón mexicano,MEXICO,Terrestre,Válido,-99.4973373,19.1531034
Morococcyx erythropygus,cuclillo terrestre,MEXICO,Terrestre,Válido,-99.6788192,18.8524833
Myiarchus nuttingi,"papamoscas de Nutting, papamoscas huí",MEXICO,Terrestre,Válido,-99.481459,18.91995
Myiarchus tuberculifer,papamoscas triste,MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Nyctidromus albicollis,chotacabras pauraque,MEXICO,Terrestre,Válido,-98.646358,19.086924
Ortalis poliocephala,chachalaca pálida,MEXICO,Terrestre,Válido,-99.3124349,18.9976411
Passer domesticus,"gorrión casero, gorrión doméstico",MEXICO,Terrestre,Válido,-99.045727,19.4641835
Passer domesticus domesticus,gorrión casero,MEXICO,Terrestre,Válido,-99.4916667,19.1366667
Pheugopedius felix,"chivirín feliz, saltapared feliz",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Poecile sclateri,carbonero mexicano,MEXICO,Terrestre,Válido,-99.7747421,19.1110448
Ridgwayia pinicola,"mirlo azteca, mirlo pinto",MEXICO,Terrestre,Válido,-100.054407,19.213088
Strix occidentalis,"búho manchado, búho moteado",MEXICO,Terrestre,Válido,-98.7116667,19.17
Tachybaptus dominicus,zambullidor menor,MEXICO,Dulceacuícola,Válido,-99.197701,19.715981
Trogon elegans,"coa elegante, trogón elegante",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Trogon mexicanus,"coa mexicana, trogón mexicano",MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Vireo brevipennis,vireo pizarra,MEXICO,Terrestre,Válido,-99.5058867,18.9503802
Accipiter gentilis,gavilán azor,MEXICO,Terrestre,Válido,-98.8822222,19.3186111
Aimophila ruficeps,"zacatonero corona canela, zacatonero corona rufa",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Antrostomus salvini,"tapacamino ticuer, tapacaminos ticurú",MEXICO,Terrestre,Válido,-99.8609999,19.7369994
Aphelocoma wollweberi,chara pecho gris,MEXICO,Terrestre,Válido,-99.0885985,19.5835935
Basileuterus belli,chipe cejas doradas,MEXICO,Terrestre,Válido,-98.959028,19.078443
Coccothraustes abeillei,picogrueso encapuchado,MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Colibri thalassinus,colibrí orejas violetas,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Colinus virginianus,codorniz cotuí,MEXICO,Terrestre,Válido,-99.8870937,20.1947568
Cyanocitta stelleri,"chara copetona, chara crestada",MEXICO,Terrestre,Válido,-99.7747421,19.1110448
Dendrocygna bicolor,pijije canelo,MEXICO,Dulceacuícola,Válido,-99.6950451,19.4056564
Empidonax affinis affinis,mosquero pinero,MEXICO,Terrestre,Válido,-99.75,19.1116667
Empidonax flavescens,"mosquero amarillento, papamoscas amarillo sureño",MEXICO,Terrestre,Válido,-100.4113889,18.8283333
Eupsittula canicularis,perico frente naranja,MEXICO,Terrestre,Válido,-100.417688,18.626829
Geothlypis nelsoni,mascarita matorralera,MEXICO,Terrestre,Válido,-98.95156,19.130159
Geranoaetus albicaudatus,aguililla cola blanca,MEXICO,Terrestre,Válido,-99.4377625,18.86214
Glaucidium brasilianum,tecolote bajeño,MEXICO,Terrestre,Válido,-99.6651927,18.7900184
Megascops seductus,tecolote del Balsas,MEXICO,Terrestre,Válido,-100.4166666,18.85
Melanerpes formicivorus,carpintero bellotero,MEXICO,Terrestre,Válido,-99.505806,19.122159
Melozone kieneri,"rascador nuca canela, rascador nuca rufa",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Momotus mexicanus,"momoto corona café, momoto corona canela",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Panyptila sanctihieronymi,vencejo tijereta mayor,MEXICO,Terrestre,Válido,-100.0429373,19.0444481
Piaya cayana,"cuclillo canela, cuclillo canelo",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Ptiliogonys cinereus cinereus,capulinero gris,MEXICO,Terrestre,Válido,-100.04,19.0433333
Sturnella magna,pradero tortillaconchile,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Trogon citreolus,"coa citrina, trogón citrino",MEXICO,Terrestre,Válido,-100.3323333,18.6906667
Tyto alba,lechuza de campanario,MEXICO,Terrestre,Válido,-99.0061741,19.7044859
Aimophila rufescens,"zacatonero canelo, zacatonero rojizo",MEXICO,Terrestre,Válido,-100.0429373,19.0444481
Amazona autumnalis,loro cachetes amarillos,MEXICO,Terrestre,Válido,-99.1905034,19.694229
Buteo plagiatus,aguililla gris,MEXICO,Terrestre,Válido,-100.04,19.0433333
Cairina moschata,pato real,MEXICO,Dulceacuícola,Válido,-99.2044616,19.6559855
Callipepla squamata,codorniz escamosa,MEXICO,Terrestre,Válido,-98.9729483,19.573495
Cassiculus melanicterus,cacique mexicano,MEXICO,Terrestre,Válido,-100.332338,18.6906545
Cathartes aura,zopilote aura,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Catharus frantzii,zorzal de Frantzius,MEXICO,Terrestre,Válido,-99.5230436,19.5294396
Catharus occidentalis,zorzal mexicano,MEXICO,Terrestre,Válido,-99.7747421,19.1110448
Cinclus mexicanus,mirlo acuático norteamericano,MEXICO,Dulceacuícola,Válido,-100.0429373,19.0444481
Columbina inca,"tortolita cola larga, tórtola cola larga",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Columbina talpacoti,"tortolita canela, tórtola rojiza",MEXICO,Terrestre,Válido,-100.3280708,18.7001766
Cyanerpes cyaneus,"mielero pata roja, mielero patas rojas",MEXICO,Terrestre,Válido,-100.0356165,19.0435058
Cyanocorax yncas,chara verde,MEXICO,Terrestre,Válido,-99.0542471,19.5921582
Dryobates fumigatus,carpintero café,MEXICO,Terrestre,Válido,-100.0413889,19.0433333
Dryobates scalaris,carpintero mexicano,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Elanus leucurus,milano cola blanca,MEXICO,Terrestre,Válido,-98.8679914,19.4905512
Geococcyx californianus,correcaminos norteño,MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",MEXICO,Terrestre,Válido,-99.5933286,18.8629832
Herpetotheres cachinnans,halcón guaco,MEXICO,Terrestre,Válido,-100.3323333,18.6906667
Icterus wagleri,"bolsero de Wagler, calandria de Wagler",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
Junco phaeonotus,junco ojos de lumbre,MEXICO,Terrestre,Válido,-99.36667,19.28333
Megascops cooperi,tecolote de Cooper,MEXICO,Terrestre,Válido,-100.0969999,18.5489997
Melanerpes chrysogenys,carpintero enmascarado,MEXICO,Terrestre,Válido,-99.5041937,18.9526145
Myadestes occidentalis,clarín jilguero,MEXICO,Terrestre,Válido,-100.2895451,19.3640872
Myioborus miniatus,"chipe de montaña, pavito alas negras",MEXICO,Terrestre,Válido,-99.1195214,20.0073064
