especievalida,nombrecomun,estadomapa,ambiente,validacionambiente,longitud,latitud
Trogon citreolus,"coa citrina, trogón citrino",SINALOA,Terrestre,Válido,-105.7166667,23.2
Tyrannus couchii,"tirano cuír, tirano silbador",SINALOA,Terrestre,Válido,-105.7766666,22.8316666
Urile penicillatus,cormorán de Brandt,SINALOA,Marino,Válido con tolerancia,-106.4810239,23.3108256
Aimophila rufescens,"zacatonero canelo, zacatonero rojizo",SINALOA,Terrestre,Válido,-105.9131987,23.4017
Amazona autumnalis,loro cachetes amarillos,SINALOA,Terrestre,Válido,-106.4485433,23.2537683
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",SINALOA,Terrestre,Válido,-105.7166667,23.2
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",SINALOA,Terrestre,Válido,-105.837137,23.585832
Callipepla gambelii,"codorniz chiquiri, codorniz de Gambel",SINALOA,Terrestre,Válido,-107.6485441,24.4073752
Caracara plancus cheriway,caracara quebrantahuesos,SINALOA,Terrestre,Válido,-106.4570045,23.288046
Cardinalis cardinalis,cardenal rojo,SINALOA,Terrestre,Válido,-106.4533331,23.279208
Cardinalis sinuatus sinuatus,cardenal pardo,SINALOA,Terrestre,Válido,-105.7766667,22.8316667
Charadrius collaris,chorlo de collar,SINALOA,Dulceacuícola; Marino; Salobre,Válido,-106.3836837,23.2362592
Columbina talpacoti,"tortolita canela, tórtola rojiza",SINALOA,Terrestre,Válido,-106.48124,23.29639
Coragyps atratus,zopilote común,SINALOA,Terrestre,Válido,-106.4418631,23.2995931
Cyanocorax sanblasianus,chara de San Blas,SINALOA,Terrestre,Válido,-107.8566667,24.81
Cynanthus canivetii,"esmeralda oriental, esmeralda tijereta",SINALOA,Terrestre,Válido,-106.865,24.374444
Dendrocygna autumnalis,"pijije ala blanca, pijije alas blancas",SINALOA,Dulceacuícola,Válido,-109.0157948,25.6192159
Dryobates scalaris,carpintero mexicano,SINALOA,Terrestre,Válido,-107.216667,25.683333
Dryobates villosus,"carpintero albinegro mayor, carpintero velloso-mayor",SINALOA,Terrestre,Válido,-106.6051262,24.3983225
Dryocopus lineatus,carpintero lineado,SINALOA,Terrestre,Válido,-106.4414222,23.2995972
Elanus leucurus,milano cola blanca,SINALOA,Terrestre,Válido,-108.0156325,25.0585044
Eremophila alpestris,alondra cornuda,SINALOA,Terrestre,Válido,-108.9990096,25.6595154
Falco femoralis,halcón fajado,SINALOA,Terrestre,Válido,-106.415,23.2183333
Falco rufigularis,"halcón enano, halcón murcielaguero",SINALOA,Terrestre,Válido,-106.332947,23.4299623
Geranospiza caerulescens,gavilán zancón,SINALOA,Dulceacuícola; Terrestre,Válido,-106.332947,23.4299623
Glaucidium gnoma,tecolote serrano,SINALOA,Terrestre,Válido,-105.9131987,23.4017
Haemorhous mexicanus,pinzón mexicano,SINALOA,Terrestre,Válido,-107.4181278,24.8283172
Icterus chrysater,"bolsero dorso dorado, calandria dorso amarillo",SINALOA,Terrestre,Válido,-105.9383333,23.5616667
Jacana spinosa,jacana norteña,SINALOA,Dulceacuícola,Válido,-106.332947,23.4299623
Leptotila verreauxi,paloma arroyera,SINALOA,Terrestre,Válido,-106.0153116,23.3643116
Melanerpes chrysogenys,carpintero enmascarado,SINALOA,Terrestre,Válido,-106.3000973,23.1199328
Melanotis caerulescens,mulato azul,SINALOA,Terrestre,Válido,-106.302848,23.837478
Melozone fusca,"rascador viejita, toquí pardo",SINALOA,Terrestre,Válido,-106.332947,23.4299623
Melozone kieneri,"rascador nuca canela, rascador nuca rufa",SINALOA,Terrestre,Válido,-105.7166667,23.2
Mitrephanes phaeocercus,"mosquero copetón, papamoscas copetón",SINALOA,Terrestre,Válido,-105.8465337,23.5649705
Myioborus miniatus miniatus,chipe de montaña,SINALOA,Terrestre,Válido,-105.8383333,23.3083333
Nyctidromus albicollis,chotacabras pauraque,SINALOA,Terrestre,Válido,-107.410902,24.865194
Pachyramphus aglaiae,"cabezón degollado, mosquero-cabezón degollado",SINALOA,Terrestre,Válido,-106.332947,23.4299623
Passer domesticus domesticus,gorrión casero,SINALOA,Terrestre,Válido,-107.8566667,24.81
Pitangus sulphuratus,Luis bienteveo,SINALOA,Terrestre,Válido,-108.8357374,26.0400126
Polioptila albiloris,perlita pispirria,SINALOA,Terrestre,Válido,-109.0916667,26.3216667
Polioptila nigriceps,perlita sinaloense,SINALOA,Terrestre,Válido,-107.2536947,24.9101094
Psaltriparus minimus,sastrecillo,SINALOA,Terrestre,Válido,-106.332947,23.4299623
Ptiliogonys cinereus,capulinero gris,SINALOA,Terrestre,Válido,-105.9427405,23.2266072
Quiscalus mexicanus,zanate mayor,SINALOA,Terrestre,Válido,-106.436373,23.234348
Ramosomyia violiceps,colibrí corona violeta,SINALOA,Terrestre,Válido,-108.961653,25.801785
Rhodinocichla rosea,"tangara cuitlacoche, tangara pecho rosa",SINALOA,Terrestre,Válido,-106.332947,23.4299623
Ridgwayia pinicola,"mirlo azteca, mirlo pinto",SINALOA,Terrestre,Válido,-105.839683,23.495512
Saltator atriceps,"picurero cabeza negra, saltador cabeza negra",SINALOA,Terrestre,Válido,-105.7766667,22.8316667
Spinus notatus,"jilguerito encapuchado, jilguero encapuchado",SINALOA,Terrestre,Válido,-105.9131987,23.4017
Streptoprocne semicollaris,vencejo nuca blanca,SINALOA,Terrestre,Válido,-106.332947,23.4299623
Strix virgata,búho café,SINALOA,Terrestre,Válido,-106.332947,23.4299623
Sturnella magna,pradero tortillaconchile,SINALOA,Terrestre,Válido,-105.778915,22.81452
Sula leucogaster,bobo café,SINALOA,Marino; Salobre,Válido,-106.4233088,23.182691
Sula nebouxii,bobo patas azules,SINALOA,Marino; Salobre,Válido,-106.4248354,23.1843072
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",SINALOA,Terrestre,Válido,-106.332947,23.4299623
Toxostoma curvirostre,cuicacoche pico curvo,SINALOA,Terrestre,Válido,-107.40305,24.826135
Turdus rufopalliatus rufopalliatus,mirlo dorso rufo,SINALOA,Terrestre,Válido,-106.8366667,24.2266667
Vireo huttoni,vireo reyezuelo,SINALOA,Terrestre,Válido,-106.332947,23.4299623
Vireo pallens,vireo manglero,SINALOA,Terrestre,Válido,-109.0752239,25.5646498
Accipiter gentilis,gavilán azor,SONORA,Terrestre,Válido,-109.2901683,27.0834487
Amazona albifrons,loro frente blanca,SONORA,Terrestre,Válido,-108.9198008,26.9387477
Cairina moschata,pato real,SONORA,Dulceacuícola,Válido,-109.216667,29.016667
Campylorhynchus brunneicapillus,matraca del desierto,SONORA,Terrestre,Válido,-109.2345923,26.405194
Caracara plancus cheriway,caracara quebrantahuesos,SONORA,Terrestre,Válido,-109.5463004,28.4557269
Cardinalis cardinalis,cardenal rojo,SONORA,Terrestre,Válido,-109.5463004,28.4557269
