especievalida,nombrecomun,longitud,latitud
Aythya americana,pato cabeza roja,-97.741616,23.767161
Aythya collaris,pato pico anillado,-101.0526506,22.1508291
Aythya marila,pato boludo mayor,-114.055155,27.9695368
Aythya valisineria,pato coacoxtle,-89.583436,21.2923604
Baeolophus atricristatus,carbonero cresta negra,-102.755127,28.9556669
Baeolophus inornatus,"carbonero encinero, carbonero sencillo",-115.9085083,32.0453328
Baeolophus wollweberi,carbonero embridado,-102.9783333,18.755
Bartramia longicauda,zarapito ganga,-98.8679914,19.4905512
Basileuterus belli,chipe cejas doradas,-100.1943898,17.4221123
Basileuterus belli bateli,chipe ceja dorada,-105.8433333,23.5866667
Basileuterus belli belli,chipe ceja dorada,-97.3333333,18.7
Basileuterus belli clarus,chipe ceja dorada,-99.6666667,17.55
Basileuterus belli scitulus,chipe ceja dorada,-92.0833333,15.0666667
Basileuterus culicivorus,"chipe cejas negras, chipe corona dorada",-100.1943898,17.4221123
Basileuterus culicivorus brasierii,chipe corona dorada,-97.5833333,21.75
Basileuterus culicivorus culicivorus,chipe corona dorada,-96.8666667,19.3666667
Basileuterus culicivorus flavescens,chipe corona dorada,-104.965,21.5766667
Basileuterus lachrymosus,"chipe de roca, pavito de rocas",-100.1943898,17.4221123
Basileuterus rufifrons,"chipe gorra canela, chipe gorra rufa",-100.1943898,17.4221123
Basileuterus rufifrons caudatus,chipe gorra rufa,-108.3833333,26.9916667
Basileuterus rufifrons dugesi,chipe gorra rufa,-103.6166667,19.6166667
Basileuterus rufifrons jouyi,chipe gorra rufa,-99.4166667,23.9
Basileuterus rufifrons rufifrons,chipe gorra rufa,-96.6833333,18.3833333
Basileuterus rufifrons salvini,chipe gorra rufa,-95.0666667,18.6
Basilinna leucotis,"zafiro oreja blanca, zafiro orejas blancas",-99.1195214,20.0073064
Basilinna xantusii,"zafiro bajacaliforniano, zafiro de Xantus",-110.221748,23.449437
Bolborhynchus lineola,"perico barrado, periquito barrado",-91.6739065,16.0997026
Bombycilla cedrorum,"ampelis chinito, chinito",-96.4243948,15.9462477
Botaurus lentiginosus,avetoro norteño,-97.0666667,20.5
Botaurus pinnatus,avetoro neotropical,-91.9952202,17.7202149
Botaurus pinnatus caribaeus,avetoro neotropical,-97.05,20.4833333
Brachyramphus marmoratus,alca marmoleada,-116.6256237,31.8517525
Branta bernicla,ganso de collar,-109.2345923,26.405194
Branta canadensis,"ganso canadiense, ganso canadiense mayor",-107.1130085,29.2594112
Branta hutchinsii,"ganso cacareador, ganso canadiense menor",-106.4263405,31.6877979
Brotogeris jugularis,"perico ala amarilla, periquito alas amarillas",-92.8918767,15.4802515
Bubo virginianus,búho cornudo,-99.1195214,20.0073064
Bubo virginianus elachistus,búho cornudo,-109.8,23.2516667
Bubo virginianus mayensis,búho cornudo,-99.5,17.55
Bubo virginianus pacificus,búho cornudo,-115.9133333,30.7683333
Bubo virginianus pallescens,búho cornudo,-108.1,27.15
Bubo virginianus subarcticus,búho cornudo,-102.26,22.9316667
Bubulcus ibis,garza ganadera,-100.1943898,17.4221123
Bucephala albeola,pato monja,-113.5288954,31.2964638
Bucephala clangula,pato chillón,-109.2345923,26.405194
Bucephala islandica,pato islándico,-113.4917092,31.3189611
Bulweria bulwerii,petrel de Bulwer,-86.975555,20.475686
Burhinus bistriatus,alcaraván americano,-95.966681,18.849211
Burhinus bistriatus bistriatus,alcaraván americano,-93.9833333,16.5833333
Busarellus nigricollis,aguililla canela,-95.1468534,18.5228338
Busarellus nigricollis nigricollis,aguililla canela,-96.2733333,18.9033333
Buteo albonotatus,aguililla aura,-95.01698,18.35812
Buteo brachyurus,aguililla cola corta,-91.577934,16.967433
Buteo brachyurus fuliginosus,aguililla cola corta,-99.4666667,17.35
Buteo jamaicensis,"aguililla cola roja, águila cola roja",-100.2394965,25.7954522
Buteo jamaicensis borealis,aguililla cola roja,-106.415,23.2183333
Buteo jamaicensis calurus,aguililla cola roja,-99.5,17.55
