especievalida,nombrecomun,category,status,longitud,latitud
Ictinia plumbea,milano plomizo,nom059,Sujeta a protección especial (Pr),-87.7233333,19.975
Ictinia plumbea,milano plomizo,iucn,Preocupación menor (lc),-87.7233333,19.975
Ictinia mississippiensis,milano de Mississippi,nom059,Sujeta a protección especial (Pr),-95.966681,18.849211
Ictinia mississippiensis,milano de Mississippi,cites,Apéndice II,-95.966681,18.849211
Ictinia mississippiensis,milano de Mississippi,iucn,Preocupación menor (lc),-95.966681,18.849211
Icterus wagleri wagleri,bolsero de Wagler,iucn,Preocupación menor (lc),-91.3088056,16.1921111
Icterus wagleri,"bolsero de Wagler, calandria de Wagler",iucn,Preocupación menor (lc),-103.2419,20.29925
Icterus spurius spurius,bolsero castaño,iucn,Preocupación menor (lc),-91.0833333,18.2166667
Icterus spurius phillipsi,bolsero castaño,iucn,Preocupación menor (lc),-97.9616667,22.3983333
Icterus spurius fuertesi,bolsero castaño,iucn,Preocupación menor (lc),-95.6333333,18.65
Icterus spurius fuertesi,bolsero castaño,nom059,Sujeta a protección especial (Pr),-95.6333333,18.65
Icterus spurius,"bolsero castaño, calandria castaña",iucn,Preocupación menor (lc),-95.01698,18.35812
Icterus pustulatus sclateri,bolsero de Sclater,iucn,Preocupación menor (lc),-93.9833333,16.5833333
Icterus pustulatus pustulatus,bolsero dorso rayado,iucn,Preocupación menor (lc),-99.5,17.55
Icterus pustulatus microstictus,bolsero dorso rayado,iucn,Preocupación menor (lc),-105.03,21.6433333
Icterus pustulatus graysonii,bolsero dorso rayado,nom059,Sujeta a protección especial (Pr) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Icterus pustulatus graysoni),-106.2416667,21.305
Icterus pustulatus graysonii,bolsero dorso rayado,iucn,Preocupación menor (lc),-106.2416667,21.305
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Icterus prosthemelas,"bolsero capucha negra, calandria caperuza negra",iucn,Preocupación menor (lc),-95.01698,18.35812
Icterus pectoralis pectoralis,bolsero pecho manchado,iucn,Preocupación menor (lc),-102.07,17.985
Icterus pectoralis,"bolsero pecho manchado, calandria pecho moteado",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Icterus parisorum,"bolsero tunero, calandria tunera",iucn,Preocupación menor (lc),-98.815118,18.927638
Icterus mesomelas mesomelas,bolsero cola amarilla,iucn,Preocupación menor (lc),-91.0833333,18.2166667
Icterus mesomelas,"bolsero cola amarilla, calandria cola amarilla",iucn,Preocupación menor (lc),-86.8497562,20.9745676
Icterus maculialatus,"bolsero guatemalteco, calandria guatemalteca",iucn,Preocupación menor (lc),-93.1166666,16.7516666
Icterus maculialatus,"bolsero guatemalteco, calandria guatemalteca",nom059,Amenazada (A),-93.1166666,16.7516666
Icterus gularis,"bolsero de Altamira, calandria dorso negro mayor",iucn,Preocupación menor (lc),-95.01698,18.35812
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Icterus galbula,"bolsero de Baltimore, calandria de Baltimore",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Icterus cucullatus trochiloides,bolsero encapuchado,iucn,Preocupación menor (lc),-109.7666667,23.4
Icterus cucullatus sennetti,bolsero encapuchado,iucn,Preocupación menor (lc),-99.5,17.55
Icterus cucullatus nelsoni,bolsero encapuchado,iucn,Preocupación menor (lc),-99.5,17.55
Icterus cucullatus igneus,bolsero encapuchado,iucn,Preocupación menor (lc),-88.9383333,21.1483333
Icterus cucullatus cucullatus,bolsero encapuchado,iucn,Preocupación menor (lc),-99.5,17.55
Icterus cucullatus,"bolsero encapuchado, calandria dorso negro menor",iucn,Preocupación menor (lc),-89.0320753,18.4323762
Icterus chrysater chrysater,bolsero dorso dorado,iucn,Preocupación menor (lc),-91.0833333,18.2166667
Icterus chrysater,"bolsero dorso dorado, calandria dorso amarillo",iucn,Preocupación menor (lc),-86.952596,20.765151
Icterus auratus,"bolsero yucateco, calandria dorso naranja",iucn,Preocupación menor (lc),-89.5609001,20.8180651
Icterus abeillei,"bolsero dorsioscuro, calandria flancos negros",iucn,Preocupación menor (lc),-101.3599994,20.684424
Icteria virens virens,buscabreña,iucn,Preocupación menor (lc),-99.235,18.925
Icteria virens tropicalis,buscabreña,iucn,Preocupación menor (lc),-108.7,26.9666667
Icteria virens auricollis,buscabreña,iucn,Preocupación menor (lc),-99.5,17.55
Icteria virens,"buscabreña, chipe grande",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Ibycter americanus,caracara comecacao,cites,Apéndice II,-92.6548877,15.36281
Ibycter americanus,caracara comecacao,nom059,Probablemente extinta en el medio silvestre (E),-92.6548877,15.36281
Ibycter americanus,caracara comecacao,iucn,Preocupación menor (lc),-92.6548877,15.36281
Hylorchilus sumichrasti,"chivirín de Sumichrast, cuevero de Sumichrast",iucn,Casi amenazado (NT),-96.8801082,18.624561
Hylorchilus sumichrasti,"chivirín de Sumichrast, cuevero de Sumichrast",nom059,Amenazada (A),-96.8801082,18.624561
Hylorchilus navai,"chivirín de Nava, cuevero de Nava",nom059,En peligro de extinción (P),-93.4664655,16.9145437
Hylorchilus navai,"chivirín de Nava, cuevero de Nava",iucn,Vulnerable (VU),-93.4664655,16.9145437
Hylomanes momotula momotula,momoto enano,nom059,Amenazada (A),-95.2166667,17.8
Hylomanes momotula momotula,momoto enano,iucn,Preocupación menor (lc),-95.2166667,17.8
Hylomanes momotula chiapensis,momoto enano,iucn,Preocupación menor (lc),-95.0933333,18.3333333
Hylomanes momotula chiapensis,momoto enano,nom059,Amenazada (A),-95.0933333,18.3333333
Hylomanes momotula,momoto enano,iucn,Preocupación menor (lc),-95.1468534,18.5228338
Hylomanes momotula,momoto enano,nom059,Amenazada (A),-95.1468534,18.5228338
Hylocichla mustelina,"zorzal maculado, zorzal moteado",iucn,Preocupación menor (lc),-95.1468534,18.5228338
Hydropsalis maculicaudus,"tapacamino cola pinta, tapacaminos sabanero",iucn,Preocupación menor (lc),-94,17.75
Hydroprogne caspia,"charrán caspia, charrán del caspio",iucn,Preocupación menor (lc),-99.7637598,16.748347
Hydrocoloeus minutus,gaviota menor,iucn,Preocupación menor (lc),-97.1484947,25.9482821
Hydrobates tethys,paíño de Galápagos,iucn,Preocupación menor (lc),-96.234524,15.476918
Hydrobates socorroensis,paíño de Townsend,iucn,En peligro (EN),-118.335,29
Hydrobates socorroensis,paíño de Townsend,nom059,En peligro de extinción (P) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Oceanodroma socorroensis),-118.335,29
Hydrobates microsoma,paíño mínimo,nom059,Amenazada (A) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Oceanodroma microsoma (ver relaciones de sinonimia).),-111.2557983,27.9689337
Hydrobates microsoma,paíño mínimo,iucn,Preocupación menor (lc),-111.2557983,27.9689337
Hydrobates melania,paíño negro,nom059,Amenazada (A) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Oceanodroma melania (ver relaciones de sinonimia).),-111.2557983,27.9689337
Hydrobates melania,paíño negro,iucn,Preocupación menor (lc),-111.2557983,27.9689337
Hydrobates macrodactylus,"paíño de Guadalupe, paíño de Isla Guadalupe",iucn,En peligro crítico (CR),-118.26741,29.00015
Hydrobates macrodactylus,"paíño de Guadalupe, paíño de Isla Guadalupe",nom059,Probablemente extinta en el medio silvestre (E) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Oceanodroma macrodactyla (ver relaciones de sinonimia).),-118.26741,29.00015
Hydrobates leucorhous,paíño de Leach,iucn,Vulnerable (VU),-117.98483,29.698
Hydrobates homochroa,paíño cenizo,iucn,En peligro (EN),-116.1166667,30.5
Hydrobates homochroa,paíño cenizo,nom059,En peligro de extinción (P) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Oceanodroma homochroa),-116.1166667,30.5
Hydrobates cheimomnestes,paíño de Ainley,iucn,Vulnerable (VU),-118.287216,28.905663
Hydrobates castro,paíño de Harcourt,iucn,Preocupación menor (lc),-93.8,13.6167
Histrionicus histrionicus,pato arlequín,iucn,Preocupación menor (lc),-113.5469,28.9793
Hirundo rustica,"golondrina común, golondrina tijereta",iucn,Preocupación menor (lc),-101.0025846,25.4208434
Herpetotheres cachinnans chapmani,halcón guaco,iucn,Preocupación menor (lc),-100.7533333,19.0483333
Herpetotheres cachinnans chapmani,halcón guaco,cites,Apéndice II,-100.7533333,19.0483333
Herpetotheres cachinnans cachinnans,halcón guaco,cites,Apéndice II,-91.0876944,16.0834722
Herpetotheres cachinnans cachinnans,halcón guaco,iucn,Preocupación menor (lc),-91.0876944,16.0834722
Herpetotheres cachinnans,halcón guaco,cites,Apéndice II,-100.1943898,17.4221123
Herpetotheres cachinnans,halcón guaco,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Henicorhina leucosticta prostheleuca,chivirín pecho blanco,iucn,Preocupación menor (lc),-95.2166667,17.8
Henicorhina leucosticta,"chivirín pecho blanco, saltapared pecho blanco",iucn,Preocupación menor (lc),-91.577934,16.967433
Henicorhina leucophrys minuscula,chivirín pecho gris,iucn,Preocupación menor (lc),-104.3,19.6216667
Henicorhina leucophrys mexicana,chivirín pecho gris,iucn,Preocupación menor (lc),-96.9283333,19.545
Henicorhina leucophrys festiva,chivirín pecho gris,iucn,Preocupación menor (lc),-99.6666667,17.5
Henicorhina leucophrys castanea,chivirín pecho gris,iucn,Preocupación menor (lc),-91.4366667,16.8116667
Henicorhina leucophrys capitalis,chivirín pecho gris,iucn,Preocupación menor (lc),-92.8333333,15.6166667
Henicorhina leucophrys,"chivirín pecho gris, saltapared pecho gris",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Helmitheros vermivorum,chipe gusanero,iucn,Preocupación menor (lc),-93.4158553,16.8591653
Heliothryx barroti,"colibrí hada enmascarada, hada enmascarada",cites,Apéndice II,-89.3645047,17.9672613
Heliothryx barroti,"colibrí hada enmascarada, hada enmascarada",iucn,Preocupación menor (lc),-89.3645047,17.9672613
Heliothryx barroti,"colibrí hada enmascarada, hada enmascarada",nom059,Amenazada (A),-89.3645047,17.9672613
Heliornis fulica,pájaro cantil,iucn,Preocupación menor (lc),-92.4204254,18.3080847
Heliornis fulica,pájaro cantil,nom059,Sujeta a protección especial (Pr),-92.4204254,18.3080847
Heliomaster longirostris pallidiceps,colibrí pico largo,cites,Apéndice II,-97.1833333,16.1
Heliomaster longirostris pallidiceps,colibrí pico largo,iucn,Preocupación menor (lc),-97.1833333,16.1
Heliomaster longirostris pallidiceps,colibrí pico largo,nom059,Sujeta a protección especial (Pr),-97.1833333,16.1
Heliomaster longirostris,"colibrí pico largo, colibrí picudo coroniazul",iucn,Preocupación menor (lc),-94.8912506,16.598907
Heliomaster longirostris,"colibrí pico largo, colibrí picudo coroniazul",cites,Apéndice II,-94.8912506,16.598907
Heliomaster longirostris,"colibrí pico largo, colibrí picudo coroniazul",nom059,Sujeta a protección especial (Pr),-94.8912506,16.598907
Heliomaster constantii pinicola,colibrí picudo,cites,Apéndice II,-105.03,21.6433333
Heliomaster constantii pinicola,colibrí picudo,iucn,Preocupación menor (lc),-105.03,21.6433333
Heliomaster constantii leocadiae,colibrí pico largo,cites,Apéndice II,-99.5,17.55
Heliomaster constantii leocadiae,colibrí pico largo,iucn,Preocupación menor (lc),-99.5,17.55
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Heliomaster constantii,"colibrí picudo, colibrí picudo occidental",cites,Apéndice II,-100.1943898,17.4221123
Harpia harpyja,águila arpía,iucn,Vulnerable (VU),-90.940876,16.111792
Harpia harpyja,águila arpía,nom059,En peligro de extinción (P),-90.940876,16.111792
Harpia harpyja,águila arpía,cites,Apéndice I,-90.940876,16.111792
Harpagus bidentatus fasciatus,gavilán bidentado,iucn,Preocupación menor (lc),-91.3028611,16.2015278
Harpagus bidentatus fasciatus,gavilán bidentado,cites,Apéndice II,-91.3028611,16.2015278
Harpagus bidentatus fasciatus,gavilán bidentado,nom059,Sujeta a protección especial (Pr),-91.3028611,16.2015278
Harpagus bidentatus,gavilán bidentado,cites,Apéndice II,-100.1943898,17.4221123
Harpagus bidentatus,gavilán bidentado,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Harpagus bidentatus,gavilán bidentado,nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Haplospiza rustica uniformis,semillero pizarra,nom059,Amenazada (A),-92.11,15.1316667
Haplospiza rustica,semillero pizarra,nom059,Amenazada (A),-93.6666667,17
Hapalocrex flaviventer,polluela pecho amarillo,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Laterallus flaviventer (ver relaciones de sinonimia).),-94.087888,17.8998085
Hapalocrex flaviventer,polluela pecho amarillo,nom059,Sujeta a protección especial (Pr) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Hapalocrex flaviventer y Porzana flaviventer (ver relaciones de sinonimia). Ambas con categoría Pr),-94.087888,17.8998085
Haliaeetus leucocephalus,águila cabeza blanca,cites,Apéndice II,-109.721219,29.310244
Haliaeetus leucocephalus,águila cabeza blanca,iucn,Preocupación menor (lc),-109.721219,29.310244
Haliaeetus leucocephalus,águila cabeza blanca,nom059,En peligro de extinción (P),-109.721219,29.310244
Haemorhous purpureus,"pinzón colorado, pinzón purpúreo",iucn,Preocupación menor (lc),-116.413064,31.5807747
Haemorhous mexicanus mcgregori,gorrión de San Benito,nom059,Probablemente extinta en el medio silvestre (E),-115.5866667,28.305
Haemorhous mexicanus mcgregori,gorrión de San Benito,iucn,Preocupación menor (lc),-115.5866667,28.305
Haemorhous mexicanus amplus,gorrión de Guadalupe,iucn,Preocupación menor (lc),-117.25,32.4333333
Haemorhous mexicanus amplus,gorrión de Guadalupe,nom059,En peligro de extinción (P),-117.25,32.4333333
Haemorhous mexicanus,pinzón mexicano,iucn,Preocupación menor (lc),-99.0277157,19.2645383
Haemorhous cassinii,"pinzón de Cassin, pinzón serrano",iucn,Preocupación menor (lc),-107.8166667,28.95
Haematopus palliatus,ostrero americano,iucn,Preocupación menor (lc),-97.7375,23.7916667
Haematopus bachmani,ostrero negro,nom059,Amenazada (A),-114.1785049,27.8032469
Habia rubica rubicoides,tángara-hormiguera corona roja,iucn,Preocupación menor (lc),-91.0730556,16.0789722
Habia rubica,"piranga hormiguera corona roja, tangara-hormiguera corona roja",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Habia fuscicauda,"piranga hormiguera garganta roja, tangara-hormiguera garganta roja",iucn,Preocupación menor (lc),-89.9012736,18.5338613
Gymnorhinus cyanocephalus,chara piñonera,iucn,Vulnerable (VU),-115.30667,30.78667
Gymnogyps californianus,cóndor californiano,cites,Apéndice I,-115.6101406,30.9651247
Gymnogyps californianus,cóndor californiano,nom059,En peligro de extinción (P),-115.6101406,30.9651247
Gymnogyps californianus,cóndor californiano,iucn,En peligro crítico (CR),-115.6101406,30.9651247
Grus americana,grulla blanca,nom059,En peligro de extinción (P),-98.0566667,25.12
Grus americana,grulla blanca,cites,Apéndice I,-98.0566667,25.12
Grus americana,grulla blanca,iucn,En peligro (EN),-98.0566667,25.12
Granatellus venustus venustus,granatelo mexicano,iucn,Preocupación menor (lc),-105.78,22.985
Granatellus venustus francescae,granatelo de las Islas Marías,iucn,Casi amenazado (NT) (En IUCN Red List 2022-2 como Granatellus francescae (ver relaciones de sinonimia).),-106.2416667,21.305
Granatellus venustus francescae,granatelo de las Islas Marías,nom059,Sujeta a protección especial (Pr),-106.2416667,21.305
Granatellus venustus,granatelo mexicano,iucn,Preocupación menor (lc),-96.1492538,15.7766433
Granatellus sallaei sallaei,granatelo yucateco,iucn,Preocupación menor (lc),-96.4833333,18.2
Granatellus sallaei boucardi,granatelo yucateco,iucn,Preocupación menor (lc),-90.6466667,18.58
Granatellus sallaei,granatelo yucateco,iucn,Preocupación menor (lc),-88.501106,20.574057
Grallaria guatimalensis ochraceiventris,hormiguero-cholino escamoso,iucn,Preocupación menor (lc),-91.3101389,16.2019444
Grallaria guatimalensis ochraceiventris,hormiguero-cholino escamoso,nom059,En peligro de extinción (P),-91.3101389,16.2019444
Grallaria guatimalensis guatimalensis,hormiguero-cholino escamoso,nom059,En peligro de extinción (P),-92.0933333,16.9016667
Grallaria guatimalensis guatimalensis,hormiguero-cholino escamoso,iucn,Preocupación menor (lc),-92.0933333,16.9016667
Grallaria guatimalensis,hormiguero cholino escamoso,iucn,Preocupación menor (lc),-92.474119,16.545467
Grallaria guatimalensis,hormiguero cholino escamoso,nom059,En peligro de extinción (P),-92.474119,16.545467
Glyphorynchus spirurus,trepatroncos pico cuña,iucn,Preocupación menor (lc),-95.1468534,18.5228338
Glyphorynchus spirurus,trepatroncos pico cuña,nom059,Amenazada (A),-95.1468534,18.5228338
Glaucidium sanchezi,tecolote tamaulipeco,cites,Apéndice II,-99.2587,23.2363
Glaucidium sanchezi,tecolote tamaulipeco,iucn,Casi amenazado (NT),-99.2587,23.2363
Glaucidium sanchezi,tecolote tamaulipeco,nom059,En peligro de extinción (P),-99.2587,23.2363
Glaucidium palmarum,tecolote colimense,iucn,Preocupación menor (lc),-96.1680508,15.7369101
Glaucidium palmarum,tecolote colimense,cites,Apéndice II,-96.1680508,15.7369101
Glaucidium palmarum,tecolote colimense,nom059,Amenazada (A),-96.1680508,15.7369101
Glaucidium griseiceps,tecolote mesoamericano,cites,Apéndice II,-96.3405674,17.6638143
Glaucidium griseiceps,tecolote mesoamericano,iucn,Preocupación menor (lc),-96.3405674,17.6638143
Glaucidium griseiceps,tecolote mesoamericano,nom059,Amenazada (A),-96.3405674,17.6638143
Glaucidium gnoma,tecolote serrano,iucn,Preocupación menor (lc),-99.5689631,21.1376666
Glaucidium gnoma,tecolote serrano,cites,Apéndice II,-99.5689631,21.1376666
Glaucidium brasilianum,tecolote bajeño,cites,Apéndice II,-89.0320753,18.4323762
Glaucidium brasilianum,tecolote bajeño,iucn,Preocupación menor (lc),-89.0320753,18.4323762
Geranospiza caerulescens,gavilán zancón,cites,Apéndice II,-89.9012736,18.5338613
Geranospiza caerulescens,gavilán zancón,iucn,Preocupación menor (lc),-89.9012736,18.5338613
Geranospiza caerulescens,gavilán zancón,nom059,Amenazada (A),-89.9012736,18.5338613
Geranoaetus albicaudatus,aguililla cola blanca,cites,Apéndice II (El nombre publicado en CITES 2022 es Buteo albicaudatus (ver relaciones de sinonimia).),-91.9952202,17.7202149
Geranoaetus albicaudatus,aguililla cola blanca,iucn,Preocupación menor (lc),-91.9952202,17.7202149
Geranoaetus albicaudatus,aguililla cola blanca,nom059,Sujeta a protección especial (Pr),-91.9952202,17.7202149
Geotrygon montana montana,paloma-perdiz rojiza,iucn,Preocupación menor (lc),-105.16,21.5283333
Geotrygon montana,"paloma canela, paloma-perdiz rojiza",iucn,Preocupación menor (lc),-92.8918767,15.4802515
Geothlypis trichas occidentalis,mascarita común,iucn,Preocupación menor (lc),-91.3097778,16.2020833
Geothlypis trichas,mascarita común,iucn,Preocupación menor (lc),-89.0320753,18.4323762
Geothlypis tolmiei monticola,chipe de Tolmie,nom059,Amenazada (A),-107.2833333,31.1333333
Geothlypis tolmiei monticola,chipe de Tolmie,iucn,Preocupación menor (lc),-107.2833333,31.1333333
Geothlypis tolmiei,"chipe de Tolmie, chipe lores negros",nom059,Amenazada (A),-100.1943898,17.4221123
Geothlypis tolmiei,"chipe de Tolmie, chipe lores negros",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",iucn,Vulnerable (VU),-99.4973373,19.1531034
Geothlypis speciosa,"mascarita del Lerma, mascarita transvolcánica",nom059,En peligro de extinción (P),-99.4973373,19.1531034
Geothlypis poliocephala,mascarita pico grueso,iucn,Preocupación menor (lc),-89.0320753,18.4323762
Geothlypis philadelphia,"chipe de pechera, chipe enlutado",iucn,Preocupación menor (lc),-99.1033333,23.0933333
Geothlypis nelsoni,mascarita matorralera,iucn,Preocupación menor (lc),-98.03407,20.211076
Geothlypis formosa,chipe patilludo,iucn,Preocupación menor (lc),-95.01698,18.35812
Geothlypis flavovelata,mascarita de Altamira,iucn,Casi amenazado (NT),-99.0440333,22.9511222
Geothlypis flavovelata,mascarita de Altamira,nom059,En peligro de extinción (P),-99.0440333,22.9511222
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",iucn,Vulnerable (VU),-109.6914954,23.0485647
Geothlypis beldingi,"mascarita bajacaliforniana, mascarita peninsular",nom059,En peligro de extinción (P),-109.6914954,23.0485647
Geococcyx velox,correcaminos tropical,iucn,Preocupación menor (lc),-89.6492958,20.2779781
Geococcyx californianus,correcaminos norteño,iucn,Preocupación menor (lc),-103.5738524,25.8777308
Gelochelidon nilotica,charrán pico grueso,iucn,Preocupación menor (lc),-87.7436041,21.5312705
Gavia stellata,colimbo menor,iucn,Preocupación menor (lc),-116.6287146,31.753972
Gavia pacifica,"colimbo del pacífico, colimbo pacífico",iucn,Preocupación menor (lc),-109.2345923,26.405194
Gavia immer,"colimbo común, colimbo mayor",iucn,Preocupación menor (lc),-109.2345923,26.405194
Gavia arctica,colimbo ártico,iucn,Preocupación menor (lc),-110.898915,27.9185669
Gavia adamsii,"colimbo de Adams, colimbo pico amarillo",iucn,Casi amenazado (NT),-114.0586853,27.7032015
Gallinula galeata,gallineta frente roja,iucn,Preocupación menor (lc),-99.4973373,19.1531034
Gallinago delicata,"agachona común, agachona norteamericana",iucn,Preocupación menor (lc),-99.4973373,19.1531034
Galbula ruficauda melanogenia,jacamar cola rufa,nom059,Amenazada (A),-91.0730556,16.0789722
Galbula ruficauda melanogenia,jacamar cola rufa,iucn,Preocupación menor (lc),-91.0730556,16.0789722
Galbula ruficauda,"jacamar cola canela, jacamar cola rufa",iucn,Preocupación menor (lc),-94.9,18.5166667
Galbula ruficauda,"jacamar cola canela, jacamar cola rufa",nom059,Amenazada (A),-94.9,18.5166667
Fulmarus glacialis rodgersii,fulmar norteño,iucn,Preocupación menor (lc),-117.25,32.4333333
Fulmarus glacialis,fulmar norteño,iucn,Preocupación menor (lc),-115.2693061,27.5563515
Fulica americana,gallareta americana,iucn,Preocupación menor (lc),-104.0261225,18.8966598
Fregata minor palmerstoni,fragata pelágica,iucn,Preocupación menor (lc),-110.8166667,19.3
Fregata minor,fragata pelágica,iucn,Preocupación menor (lc),-112.4833333,20.1833333
Fregata magnificens,"fragata magnífica, fragata tijereta",iucn,Preocupación menor (lc),-99.7637598,16.748347
Forpus cyanopygius insularis,catarina de las Islas Marías,nom059,En peligro de extinción (P),-106.2416667,21.305
Forpus cyanopygius insularis,catarina de las Islas Marías,cites,Apéndice II,-106.2416667,21.305
Forpus cyanopygius insularis,catarina de las Islas Marías,iucn,Casi amenazado (NT),-106.2416667,21.305
Forpus cyanopygius cyanopygius,catarina de las Islas Marías,cites,Apéndice II,-106.2866667,23.7661111
Forpus cyanopygius cyanopygius,catarina de las Islas Marías,iucn,Casi amenazado (NT),-106.2866667,23.7661111
Forpus cyanopygius cyanopygius,catarina de las Islas Marías,nom059,Sujeta a protección especial (Pr),-106.2866667,23.7661111
Forpus cyanopygius,"perico catarina, periquito catarino",cites,Apéndice II,-108.0783333,25.46
Forpus cyanopygius,"perico catarina, periquito catarino",iucn,Casi amenazado (NT),-108.0783333,25.46
Forpus cyanopygius,"perico catarina, periquito catarino",nom059,Sujeta a protección especial (Pr),-108.0783333,25.46
Formicarius moniliger moniliger,hormiguero-gallito mexicano,iucn,Preocupación menor (lc),-91.3078333,16.2011667
Formicarius moniliger,hormiguero cholino maya,iucn,Preocupación menor (lc),-91.577934,16.967433
Florisuga mellivora mellivora,colibrí nuca blanca,cites,Apéndice II,-93.5233333,16.0866667
Florisuga mellivora mellivora,colibrí nuca blanca,iucn,Preocupación menor (lc),-93.5233333,16.0866667
Florisuga mellivora,"colibrí capucha azul, colibrí nuca blanca",iucn,Preocupación menor (lc),-92.8918767,15.4802515
Florisuga mellivora,"colibrí capucha azul, colibrí nuca blanca",cites,Apéndice II,-92.8918767,15.4802515
Falco sparverius,cernícalo americano,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Falco sparverius,cernícalo americano,cites,Apéndice II,-100.1943898,17.4221123
Falco rufigularis,"halcón enano, halcón murcielaguero",cites,Apéndice II,-100.1943898,17.4221123
Falco rufigularis,"halcón enano, halcón murcielaguero",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Falco peregrinus anatum,halcón peregrino,cites,Apéndice I,-100.845,25.3283333
Falco peregrinus anatum,halcón peregrino,iucn,Preocupación menor (lc),-100.845,25.3283333
Falco peregrinus anatum,halcón peregrino,nom059,Sujeta a protección especial (Pr),-100.845,25.3283333
Falco peregrinus,halcón peregrino,nom059,Sujeta a protección especial (Pr),-114.4300045,28.8824166
Falco peregrinus,halcón peregrino,iucn,Preocupación menor (lc),-114.4300045,28.8824166
Falco peregrinus,halcón peregrino,cites,Apéndice I,-114.4300045,28.8824166
Falco mexicanus,halcón mexicano,iucn,Preocupación menor (lc),-100.581523,25.021968
Falco mexicanus,halcón mexicano,nom059,Amenazada (A),-100.581523,25.021968
Falco mexicanus,halcón mexicano,cites,Apéndice II,-100.581523,25.021968
Falco femoralis,halcón fajado,iucn,Preocupación menor (lc),-98.314091,22.077748
Falco femoralis,halcón fajado,cites,Apéndice II,-98.314091,22.077748
Falco femoralis,halcón fajado,nom059,Amenazada (A),-98.314091,22.077748
Falco columbarius richardsonii,halcón esmerejón,cites,Apéndice II,-98.3166667,22.7166667
Falco columbarius richardsonii,halcón esmerejón,iucn,Preocupación menor (lc),-98.3166667,22.7166667
Falco columbarius columbarius,halcón esmerejón,cites,Apéndice II,-108.0783333,25.46
Falco columbarius columbarius,halcón esmerejón,iucn,Preocupación menor (lc),-108.0783333,25.46
Falco columbarius,halcón esmerejón,cites,Apéndice II,-113.5288954,31.2964638
Falco columbarius,halcón esmerejón,iucn,Preocupación menor (lc),-113.5288954,31.2964638
Euptilotis neoxenus,"quetzal orejón, trogón orejón",iucn,Preocupación menor (lc),-108.163273,29.320693
Euptilotis neoxenus,"quetzal orejón, trogón orejón",nom059,Amenazada (A),-108.163273,29.320693
Eupsittula nana,perico pecho sucio,nom059,Sujeta a protección especial (Pr),-89.0320753,18.4323762
Eupsittula nana,perico pecho sucio,cites,Apéndice II (El nombre publicado en CITES 2022 es Aratinga nana (ver relaciones de sinonimia).),-89.0320753,18.4323762
Eupsittula canicularis,perico frente naranja,iucn,Vulnerable (VU),-100.1943898,17.4221123
Eupsittula canicularis,perico frente naranja,cites,Apéndice II (El nombre publicado en CITES 2022 es Aratinga canicularis (ver relaciones de sinonimia).),-100.1943898,17.4221123
Eupsittula canicularis,perico frente naranja,nom059,Sujeta a protección especial (Pr),-100.1943898,17.4221123
Euphonia minuta,eufonia vientre blanco,nom059,Sujeta a protección especial (Pr),-90.7088498,16.6108612
Euphonia minuta,eufonia vientre blanco,iucn,Preocupación menor (lc),-90.7088498,16.6108612
Euphonia hirundinacea hirundinacea,eufonia garganta amarilla,iucn,Preocupación menor (lc),-95.9333333,17.45
Euphonia hirundinacea caribbaea,eufonia garganta amarilla,iucn,Preocupación menor (lc),-95.0333333,17.2233333
Euphonia hirundinacea,eufonia garganta amarilla,iucn,Preocupación menor (lc),-87.4406214,20.2383617
Euphonia gouldi gouldi,eufonia olivácea,iucn,Preocupación menor (lc),-95.9333333,17.45
Euphonia gouldi gouldi,eufonia olivácea,nom059,Sujeta a protección especial (Pr),-95.9333333,17.45
