especievalida,nombrecomun,category,status,longitud,latitud
Toxostoma crissale,cuicacoche crisal,iucn,Preocupación menor (lc),-115.4697418,31.3097951
Toxostoma cinereum mearnsi,cuitlacoche peninsular,iucn,Preocupación menor (lc),-116.795,32.3633333
Toxostoma cinereum cinereum,cuitlacoche peninsular,iucn,Preocupación menor (lc),-110.8333333,25.0833333
Toxostoma cinereum,"cuicacoche bajacaliforniano, cuitlacoche peninsular",iucn,Preocupación menor (lc),-109.928211,23.657133
Toxostoma bendirei,cuicacoche pico corto,iucn,Vulnerable (VU),-109.2345923,26.405194
Tolmomyias sulphurescens cinereiceps,mosquero ojo blanco,iucn,Preocupación menor (lc),-91.0705556,16.0779167
Tolmomyias sulphurescens,"mosquerito ojos blancos, mosquero ojo blanco",iucn,Preocupación menor (lc),-92.8918767,15.4802515
Todirostrum cinereum,"espatulilla amarillo, mosquerito espatulilla común",iucn,Preocupación menor (lc),-89.0320753,18.4323762
Tityra semifasciata personata,titira enmascarada,iucn,Preocupación menor (lc),-91.3080556,16.1906389
Tityra semifasciata,"titira enmascarada, titira puerquito",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Tityra inquisitor,titira pico negro,iucn,Preocupación menor (lc),-98.9742054,21.7340278
Tinamus major robustus,tinamú mayor,nom059,Amenazada (A),-91.30125,16.2028611
Tinamus major robustus,tinamú mayor,iucn,Preocupación menor (lc),-91.30125,16.2028611
Tinamus major,tinamú mayor,nom059,Amenazada (A),-96.3405674,17.6638143
Tinamus major,tinamú mayor,iucn,Preocupación menor (lc),-96.3405674,17.6638143
Tilmatura dupontii,colibrí cola pinta,nom059,Amenazada (A),-100.1943898,17.4221123
Tilmatura dupontii,colibrí cola pinta,cites,Apéndice II,-100.1943898,17.4221123
Tilmatura dupontii,colibrí cola pinta,iucn,Preocupación menor (lc),-100.1943898,17.4221123
Tigrisoma mexicanum,garza tigre mexicana,iucn,Preocupación menor (lc),-91.9952202,17.7202149
Tigrisoma mexicanum,garza tigre mexicana,nom059,Sujeta a protección especial (Pr),-91.9952202,17.7202149
Tiaris olivaceus,semillero oliváceo,iucn,Preocupación menor (lc),-95.01698,18.35812
Thryothorus ludovicianus ludovicianus,chivirín sinaloense,iucn,Preocupación menor (lc),-99.5,17.55
Thryothorus ludovicianus,"chivirín de Carolina, saltapared de carolina",iucn,Preocupación menor (lc),-89.2866611,21.0631166
Thryophilus sinaloa,"chivirín sinaloense, saltapared sinaloense",iucn,Preocupación menor (lc),-100.1943898,17.4221123
Thryophilus rufalbus,"chivirín rojizo, saltapared albicanelo",iucn,Preocupación menor (lc),-92.1266667,15.08
Thryophilus pleurostictus,"chivirín barrado, saltapared barrado",iucn,Preocupación menor (lc),-99.1014007,18.9658571
Thryomanes bewickii,"chivirín cola oscura, saltapared cola larga",iucn,Preocupación menor (lc),-99.249065,19.009524
Thamnophilus doliatus,batará barrado,iucn,Preocupación menor (lc),-90.7925062,18.4923912
Thamnistes anabatinus anabatinus,batará café,nom059,Amenazada (A),-92.9566667,17.545
Thamnistes anabatinus anabatinus,batará café,iucn,Preocupación menor (lc),-92.9566667,17.545
Thamnistes anabatinus,"batará café, batará canelo",nom059,Amenazada (A),-90.9410997,16.1124493
Thamnistes anabatinus,"batará café, batará canelo",iucn,Preocupación menor (lc),-90.9410997,16.1124493
Thalasseus sandvicensis,charrán de Sandwich,iucn,Preocupación menor (lc),-88.1649882,21.5992128
Thalasseus maximus maximus,charrán real,iucn,Preocupación menor (lc),-97.5833333,21.75
Thalasseus maximus,charrán real,iucn,Preocupación menor (lc),-88.1649882,21.5992128
Thalasseus elegans,charrán elegante,nom059,Sujeta a protección especial (Pr),-109.2345923,26.405194
Thalasseus elegans,charrán elegante,iucn,Casi amenazado (NT),-109.2345923,26.405194
Terenotriccus erythrurus fulvigularis,mosquero cola castaña,iucn,Preocupación menor (lc),-91.3059167,16.2036389
Terenotriccus erythrurus fulvigularis,mosquero cola castaña,nom059,Sujeta a protección especial (Pr),-91.3059167,16.2036389
Terenotriccus erythrurus,"mosquerito cola castaña, mosquero cola castaña",iucn,Preocupación menor (lc),-91.055301,16.817647
Terenotriccus erythrurus,"mosquerito cola castaña, mosquero cola castaña",nom059,Sujeta a protección especial (Pr),-91.055301,16.817647
Taraba major melanocrissus,batará mayor,nom059,Sujeta a protección especial (Pr),-95.2166667,17.8
Taraba major melanocrissus,batará mayor,iucn,Preocupación menor (lc),-95.2166667,17.8
Taraba major,batará mayor,nom059,Sujeta a protección especial (Pr),-90.837595,16.250392
Taraba major,batará mayor,iucn,Preocupación menor (lc),-90.837595,16.250392
Tapera naevia excellens,cuclillo rayado,iucn,Preocupación menor (lc),-95.0833333,18.4166667
Tapera naevia,cuclillo rayado,iucn,Preocupación menor (lc),-93.646946,16.1749128
Tachycineta thalassina thalassina,golondrina verdemar,iucn,Preocupación menor (lc),-106.3666667,29.45
Tachycineta thalassina brachyptera,golondrina verdemar,iucn,Preocupación menor (lc),-112.7066667,27.3683333
Tachycineta thalassina,golondrina verdemar,iucn,Preocupación menor (lc),-99.4973373,19.1531034
Tachycineta bicolor,golondrina bicolor,iucn,Preocupación menor (lc),-114.73141,32.715386
Tachycineta albilinea,golondrina manglera,iucn,Preocupación menor (lc),-88.3018971,18.493776
Tachybaptus dominicus,zambullidor menor,nom059,Sujeta a protección especial (Pr),-101.0526506,22.1508291
Tachybaptus dominicus,zambullidor menor,iucn,Preocupación menor (lc),-101.0526506,22.1508291
Synthliboramphus scrippsi,mérgulo de scripps,iucn,Vulnerable (VU),-116.626189,31.853884
Synthliboramphus hypoleucus scrippsi,mérgulo de Scripps,iucn,En peligro (EN),-117.25,32.4333333
Synthliboramphus hypoleucus scrippsi,mérgulo de Scripps,nom059,En peligro de extinción (P),-117.25,32.4333333
Synthliboramphus hypoleucus hypoleucus,mérgulo de xantus,nom059,En peligro de extinción (P),-115.5866667,28.305
Synthliboramphus hypoleucus hypoleucus,mérgulo de xantus,iucn,En peligro (EN),-115.5866667,28.305
Synthliboramphus hypoleucus,mérgulo de Xantus,nom059,En peligro de extinción (P),-117.6385,32.5833
Synthliboramphus hypoleucus,mérgulo de Xantus,iucn,En peligro (EN),-117.6385,32.5833
Synthliboramphus craveri,mérgulo de Craveri,iucn,Vulnerable (VU),-111.8385315,24.4502436
Synthliboramphus craveri,mérgulo de Craveri,nom059,En peligro de extinción (P),-111.8385315,24.4502436
Synthliboramphus antiquus,mérgulo antiguo,iucn,Preocupación menor (lc),-116.6256237,31.8517525
Synallaxis erythrothorax pacifica,güitío del Pacífico,iucn,Preocupación menor (lc),-92.38,15.0183333
Synallaxis erythrothorax furtiva,güitío del Pacífico,iucn,Preocupación menor (lc),-92.15,14.9833333
Synallaxis erythrothorax erythrothorax,güitío pecho rufo,iucn,Preocupación menor (lc),-91.0833333,18.2166667
Synallaxis erythrothorax,"güitío pecho rufo, hormiguero pepito",iucn,Preocupación menor (lc),-92.893954,15.442236
Sula sula websteri,bobo pata roja,nom059,Amenazada (A),-110.9833333,18.75
Sula sula websteri,bobo pata roja,iucn,Preocupación menor (lc),-110.9833333,18.75
Sula sula,bobo patas rojas,iucn,Preocupación menor (lc),-112.670552,20.956899
Sula sula,bobo patas rojas,nom059,Amenazada (A),-112.670552,20.956899
Sula nebouxii,bobo patas azules,iucn,Preocupación menor (lc),-111.2557983,27.9689337
Sula nebouxii,bobo patas azules,nom059,Sujeta a protección especial (Pr),-111.2557983,27.9689337
Sula leucogaster leucogaster,bobo café,iucn,Preocupación menor (lc),-105.2316667,20.6116667
Sula leucogaster brewsteri,bobo café,iucn,Preocupación menor (lc),-101.2666667,17.5333333
Sula leucogaster,bobo café,iucn,Preocupación menor (lc),-110.8557763,25.2427987
Sula granti,bobo de Nazca,iucn,Preocupación menor (lc),-110.3458176,24.2982215
Sula dactylatra dactylatra,bobo enmascarado,iucn,Preocupación menor (lc),-91.9666667,21.2166667
Sula dactylatra californica,bobo enmascarado,iucn,Preocupación menor (lc),-114.7333333,18.3666667
Sula dactylatra,bobo enmascarado,iucn,Preocupación menor (lc),-93.7167,13.5833
Sturnus vulgaris vulgaris,estornino pinto,iucn,Preocupación menor (lc),-116.4033333,31.5383333
Sturnus vulgaris,estornino pinto,iucn,Preocupación menor (lc),-114.73141,32.715386
Sturnella neglecta,"pradero del oeste, pradero occidental",iucn,Preocupación menor (lc),-100.581523,25.021968
Sturnella magna,pradero tortillaconchile,iucn,Casi amenazado (NT),-103.4526797,19.5901715
Strix virgata,búho café,cites,Apéndice II (El nombre publicado en CITES 2022 es Strix virgata (ver relaciones de sinonimia).),-102.7833333,18.0938889
Strix virgata,búho café,iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Ciccaba virgata (ver relaciones de sinonimia).),-102.7833333,18.0938889
Strix sartorii,"búho barrado, búho listado",cites,Apéndice II (El nombre publicado en CITES 2022 es Strix varia),-104.8233611,20.7490556
Strix sartorii,"búho barrado, búho listado",nom059,Sujeta a protección especial (Pr) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Strix varia),-104.8233611,20.7490556
Strix sartorii,"búho barrado, búho listado",iucn,Preocupación menor (lc) (En IUCN Red List 2022-1 como Strix varia),-104.8233611,20.7490556
Strix occidentalis lucida,búho manchado,nom059,Amenazada (A),-98.6833333,21.325
Strix occidentalis lucida,búho manchado,cites,Apéndice II,-98.6833333,21.325
Strix occidentalis lucida,búho manchado,iucn,Casi amenazado (NT),-98.6833333,21.325
Strix occidentalis,"búho manchado, búho moteado",nom059,Amenazada (A),-104.2055556,23.3716667
Strix occidentalis,"búho manchado, búho moteado",cites,Apéndice II,-104.2055556,23.3716667
Strix occidentalis,"búho manchado, búho moteado",iucn,Casi amenazado (NT),-104.2055556,23.3716667
Strix nigrolineata,"búho barrado albinegro, búho blanquinegro",iucn,Preocupación menor (lc) (En IUCN Red List 2022-2 como Ciccaba nigrolineata (ver relaciones de sinonimia).),-95.1468534,18.5228338
Strix nigrolineata,"búho barrado albinegro, búho blanquinegro",nom059,Amenazada (A) (Publicado en NOM-059-SEMARNAT 2010-Mod. Anexo Normativo III 2019 como Ciccaba nigrolineata (ver relaciones de sinonimia).),-95.1468534,18.5228338
Strix nigrolineata,"búho barrado albinegro, búho blanquinegro",cites,Apéndice II,-95.1468534,18.5228338
Strix fulvescens,búho leonado,cites,Apéndice II,-96.61795,17.1863
Strix fulvescens,búho leonado,iucn,Preocupación menor (lc),-96.61795,17.1863
Strix fulvescens,búho leonado,nom059,En peligro de extinción (P),-96.61795,17.1863
Streptoprocne zonaris mexicana,vencejo cuello blanco,iucn,Preocupación menor (lc),-92.65,15.35
Streptoprocne zonaris,"vencejo collar blanco, vencejo cuello blanco",iucn,Preocupación menor (lc),-92.8918767,15.4802515
Streptoprocne semicollaris,vencejo nuca blanca,iucn,Preocupación menor (lc),-99.5,17.55
Streptoprocne semicollaris,vencejo nuca blanca,nom059,Sujeta a protección especial (Pr),-99.5,17.55
Streptoprocne rutila,vencejo cuello castaño,iucn,Preocupación menor (lc),-100.1943898,17.4221123
