especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Icterus spurius fuertesi,bolsero castaño,COLIMA,06,CUAUHTEMOC,06005,21MI E COLIMA RIO NARANJO,MEXICO / COLIMA,-103.5433333,19.2733333
Icterus spurius,"bolsero castaño, calandria castaña",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Icterus pustulatus sclateri,bolsero de Sclater,CHIAPAS,07,CINTALAPA,07017,"MONTSERRATE, 40 MI. NO. ARRIAGA",MEXICO / CHIAPAS,-93.9833333,16.5833333
Icterus pustulatus pustulatus,bolsero dorso rayado,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Icterus pustulatus microstictus,bolsero dorso rayado,JALISCO,14,PUERTO VALLARTA,14067,Bahia de Banderas,MEXICO / JALISCO,-105.2366667,20.59
Icterus pustulatus,"bolsero dorso rayado, calandria dorso rayado",AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Icterus prosthemelas,"bolsero capucha negra, calandria caperuza negra",CAMPECHE,04,CALAKMUL,04010,"Camino / Ramal a Dos Lagunas, Campeche, MX (17.884, -89.337)",MEXICO / CAMPECHE / CALAKMUL,-89.3372508,17.8837125
Icterus pectoralis pectoralis,bolsero pecho manchado,GUERRERO,12,LA UNION DE ISIDORO MONTES DE OCA,12068,Bahía de Petacalco,MEXICO / GUERRERO,-102.07,17.985
Icterus pectoralis,"bolsero pecho manchado, calandria pecho moteado",CHIAPAS,07,TUXTLA CHICO,07102,Rancho Roble y Primavera,MEXICO / CHIAPAS / TUXTLA CHICO,-92.2333156,14.8890147
Icterus parisorum,"bolsero tunero, calandria tunera",AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,"San José de Gracia, Ags., México",MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.4664167,22.1659031
Icterus mesomelas mesomelas,bolsero cola amarilla,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Icterus mesomelas,"bolsero cola amarilla, calandria cola amarilla",CAMPECHE,04,CARMEN,04003,"Carretera a Díaz Ordaz-Sabancuy, Ciudad del Carmen MX-CAMP 18.64137, -90.98158",MEXICO / CAMPECHE / CARMEN,-90.981577,18.641366
Icterus maculialatus,"bolsero guatemalteco, calandria guatemalteca",CHIAPAS,07,TUXTLA GUTIERREZ,07101,"Cerro del Sumidero, Tuxtla Gutiérrez",MEXICO / CHIAPAS,-93.1166666,16.7516666
Icterus gularis,"bolsero de Altamira, calandria dorso negro mayor",AGUASCALIENTES,01,JESUS MARIA,01005,Paseo del molino,MEXICO / AGUASCALIENTES / JESUS MARIA,-102.3306084,21.9385274
Icterus graduacauda,"bolsero cabeza negra, calandria capucha negra",CHIAPAS,07,MAPASTEPEC,07051,Mapastepec,MEXICO / CHIAPAS / MAPASTEPEC,-92.8922222,15.4244444
Icterus galbula,"bolsero de Baltimore, calandria de Baltimore",BAJA CALIFORNIA,02,ENSENADA,02001,Las Arboledas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6165565,31.8839484
Icterus cucullatus trochiloides,bolsero encapuchado,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,MIRAFLORES,MEXICO / BAJA CALIFORNIA SUR,-109.7666667,23.4
Icterus cucullatus sennetti,bolsero encapuchado,COAHUILA DE ZARAGOZA,05,SABINAS,05028,SABINAS,MEXICO / COAHUILA DE ZARAGOZA,-101.12,27.8666667
Icterus cucullatus nelsoni,bolsero encapuchado,BAJA CALIFORNIA,02,TIJUANA,02004,Santa Anita,MEXICO / BAJA CALIFORNIA,-116.795,32.3633333
Icterus cucullatus igneus,bolsero encapuchado,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Icterus cucullatus cucullatus,bolsero encapuchado,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Icterus cucullatus,"bolsero encapuchado, calandria dorso negro menor",AGUASCALIENTES,01,AGUASCALIENTES,01001,Presa del Niagara,MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.372365,21.8045317
Icterus chrysater chrysater,bolsero dorso dorado,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Icterus chrysater,"bolsero dorso dorado, calandria dorso amarillo",CAMPECHE,04,CALAKMUL,04010,ruinas Río Bec,MEXICO / CAMPECHE / CALAKMUL,-89.383049,18.4841677
Icterus bullockii,"bolsero calandria, calandria cejas naranjas",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Desarrollo Especial Parque Ecológico el Cedazo, Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2633171,21.8655554
Icterus auratus,"bolsero yucateco, calandria dorso naranja",CAMPECHE,04,CAMPECHE,04002,Fuerte de San Miguel,MEXICO / CAMPECHE / CAMPECHE,-90.5685586,19.8241028
Icterus abeillei,"bolsero dorsioscuro, calandria flancos negros",AGUASCALIENTES,01,ASIENTOS,01002,"Comunidad Viudas de Pte, Asientos, Ags",MEXICO / AGUASCALIENTES / ASIENTOS,-102.0820644,22.1048103
Icteria virens virens,buscabreña,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Icteria virens tropicalis,buscabreña,COLIMA,06,MANZANILLO,06007,"LAJUELA 1 MI E, CIHUATLAN",MEXICO / COLIMA,-104.5333333,19.2333333
Icteria virens auricollis,buscabreña,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.2333333,22.3333333
Icteria virens,"buscabreña, chipe grande",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Ibycter americanus,caracara comecacao,CHIAPAS,07,ACACOYAGUA,07001,Finca Esperanza,MEXICO / CHIAPAS / SOCONUSCO DISTRICT,-92.6548877,15.36281
