especievalida,nombrecomun,estadomapa,claveestadomapa,municipiomapa,clavemunicipiomapa,localidad,region,longitud,latitud
Ramphotrigon flammulatum,"papamoscas jaspeado, papamoscas mexicano",CHIAPAS,07,TUXTLA GUTIERREZ,07101,PN Cañón del Sumidero--Entrada,MEXICO / CHIAPAS / TUXTLA GUTIERREZ,-93.0951646,16.7961703
Ramphocelus sanguinolentus,"tangara rojinegra, tangara sanguinolenta",CHIAPAS,07,OCOSINGO,07059,"29952 Ocosingo, CHIS, Ocosingo MX-CHIS (16.9674,-91.5779)",MEXICO / CHIAPAS / OCOSINGO,-91.577934,16.967433
Ramphocelus passerinii,"tangara rabadilla roja, tangara terciopelo",CAMPECHE,04,CHAMPOTON,04004,San Felipe,MEXICO / CAMPECHE / CHAMPOTON,-90.8666667,18.945
Ramphocaenus melanurus rufiventris,soterillo picudo,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada3,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3101389,16.2019444
Ramphocaenus melanurus,"saltón picudo, soterillo picudo",CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Ramphastos sulfuratus sulfuratus,tucán pico de canoa,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cañada7,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3078333,16.2024444
Ramphastos sulfuratus,tucán pico canoa,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Ramosomyia viridifrons,colibrí frente verde,CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Ramosomyia violiceps,colibrí corona violeta,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Zona Poniente, Universidad Autónoma de Aguascalientes, 20130 Aguascalientes, Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.3205675,21.9120849
Rallus tenuirostris,rascón azteca,CHIHUAHUA,08,MEOQUI,08045,Vado de Meoqui,MEXICO / CHIHUAHUA / MEOQUI,-105.4771185,28.2626585
Rallus obsoletus,rascón costero del Pacífico,BAJA CALIFORNIA,02,MEXICALI,02002,Rio Hardy (RH1-83),MEXICO / BAJA CALIFORNIA / MEXICALI,-115.204255,32.032574
Rallus longirostris,rascón picudo,COLIMA,06,MANZANILLO,06007,"Laguna de Cuyutlán, Los Islotes",MEXICO / COLIMA / MANZANILLO,-104.2618889,19.02625
Rallus limicola limicola,rascón limícola,BAJA CALIFORNIA,02,SAN QUINTIN,02006,BOCA DE RIO SANTO DOMINGO,MEXICO / BAJA CALIFORNIA,-116.0166667,30.75
Rallus limicola friedmanni,rascón limícola,CHIAPAS,07,TUXTLA GUTIERREZ,07101,"'WATER WORKS', S SAN CRISTOBAL DE LAS CASAS",MEXICO / CHIAPAS,-93.1116667,16.73
Rallus limicola,"rascón cara gris, rascón limícola",BAJA CALIFORNIA,02,MEXICALI,02002,"Baja California, MX (32.037, -115.12)",MEXICO / BAJA CALIFORNIA / MEXICALI,-115.1195598,32.0365172
Rallus elegans,rascón real,BAJA CALIFORNIA SUR,03,LA PAZ,03003,"verbatimlocality: North America, [Mexico], Lower California [=Baja California Sur], La Paz",MEXICO / BAJA CALIFORNIA SUR,-110.312738,24.142297
Rallus crepitans,"rascón costero del atlántico, rascón picudo",CAMPECHE,04,CALKINI,04001,Reserva de la Biosfera Ría Celestún--Nichili,MEXICO / CAMPECHE / CALKINI,-90.4144979,20.7971078
Quiscalus quiscula,"zanate común, zanate norteño",BAJA CALIFORNIA,02,SAN QUINTIN,02006,El Rosario de Abajo (pueblo),MEXICO / BAJA CALIFORNIA / ENSENADA,-115.7381773,30.0408636
Quiscalus palustris,zanate del Lerma,MEXICO,15,LERMA,15051,West edge of Lerma Marshes,MEXICO / MEXICO / LERMA,-99.5203884,19.2429981
Quiscalus mexicanus mexicanus,zanate mexicano,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal2,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3097778,16.1940833
Quiscalus mexicanus,zanate mayor,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Pyrocephalus rubinus mexicanus,mosquero cardenal,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.2333333,22.3333333
Pyrocephalus rubinus flammeus,mosquero cardenal,BAJA CALIFORNIA,02,MEXICALI,02002,COLORADO RIVER; 20MI S PILOT KNOB,MEXICO / BAJA CALIFORNIA,-114.8,32.55
Pyrocephalus rubinus blatteus,mosquero cardenal,CAMPECHE,04,CARMEN,04003,RIO PITAL,MEXICO / CAMPECHE,-91.1333333,18.55
Pyrocephalus rubinus,"mosquero cardenal, papamoscas cardenalito",AGUASCALIENTES,01,EL LLANO,01010,"Los Conos, Ags., México",MEXICO / AGUASCALIENTES / EL LLANO,-101.992637,21.898882
Pyrilia haematotis,loro cabeza oscura,CAMPECHE,04,CALAKMUL,04010,Calakmul - Dos Naciones camp area,MEXICO / CAMPECHE / CALAKMUL,-89.3645047,17.9672613
Pygochelidon cyanoleuca,golondrina albiazul,CHIAPAS,07,TUXTLA GUTIERREZ,07101,TUXTLA GUTIERREZ,MEXICO / CHIAPAS / TUXTLA GUTIERREZ,-93.1166667,16.7416667
Pulsatrix perspicillata saturata,búho de anteojos,CHIAPAS,07,ESCUINTLA,07032,LA GRADA - TAJUCO,MEXICO / CHIAPAS,-92.65,15.35
Pulsatrix perspicillata,búho de anteojos,CHIAPAS,07,MAPASTEPEC,07051,MX-CHP-Paval Base Camp [El Triunfo Pacific Slope],MEXICO / CHIAPAS / MAPASTEPEC,-92.850105,15.592826
Puffinus subalaris,pardela de Galápagos,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Puffinus puffinus,pardela boreal,BAJA CALIFORNIA,02,ENSENADA,02001,La Bufadora,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.7228216,31.7240697
Puffinus opisthomelas,pardela mexicana,BAJA CALIFORNIA,02,ENSENADA,02001,Rio Santo Tomas estuary,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6585304,31.53492
Puffinus nativitatis,"pardela de Isla Navidad, pardela de Navidad",BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Puffinus auricularis auricularis,pardela de revillagigedo,OAXACA,20,SAN PEDRO POCHUTLA,20324,1 MI OFF SHORE FROM PUERTO ANGEL,MEXICO / OAXACA,-96.49,15.6633333
Puffinus auricularis,"pardela de Islas Revillagigedo, pardela de Revillagigedo",BAJA CALIFORNIA SUR,03,LOS CABOS,03008,Punta Arena,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.47348,23.5540365
Ptychoramphus aleuticus,"alcuela oscura, alquita oscura",BAJA CALIFORNIA,02,ENSENADA,02001,MX-BC -Ensenada-Océano Pacífico - 31.8539x-116.6262,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.626189,31.853884
Ptiliogonys cinereus pallescens,capulinero gris,GUERRERO,12,CHILPANCINGO DE LOS BRAVO,12029,Chilpancingo,MEXICO / GUERRERO,-99.5,17.55
Ptiliogonys cinereus otofuscus,capulinero gris,CHIHUAHUA,08,URIQUE,08065,"ARROYO HONDO, 30 MI NE DE LA UNION RIO CHINIPAS Y RIO FUERTE",MEXICO / CHIHUAHUA,-108.1,27.15
Ptiliogonys cinereus molybdophanes,capulinero gris,CHIAPAS,07,HONDURAS DE LA SIERRA,07125,Letrero,MEXICO / CHIAPAS,-92.4666667,15.5
Ptiliogonys cinereus cinereus,capulinero gris,COLIMA,06,CUAUHTEMOC,06005,Sierra Nevada de Colima,MEXICO / COLIMA,-103.6316667,19.45
Ptiliogonys cinereus,capulinero gris,AGUASCALIENTES,01,CALVILLO,01003,Sierra Fría - Entrada el Pinal,MEXICO / AGUASCALIENTES / CALVILLO,-102.740156,22.029854
Pteroglossus torquatus torquatus,arasari de collar,CHIAPAS,07,TUXTLA GUTIERREZ,07101,REGION DE TUXTLA GUTIERREZ,MEXICO / CHIAPAS,-93.1083333,16.7483333
Pteroglossus torquatus erythrozonus,arasari de collar,CAMPECHE,04,ESCARCEGA,04009,Matamoros,MEXICO / CAMPECHE,-90.6466667,18.58
Pteroglossus torquatus,tucancillo collarejo,CAMPECHE,04,CAMPECHE,04002,IchHa-LoolXaan,MEXICO / CAMPECHE / CAMPECHE,-90.3640509,19.9528578
Pterodroma externa,"petrel de Isla Juan Fernández, petrel de Juan Fernández",BAJA CALIFORNIA SUR,03,LOS CABOS,03008,La Ribera,MEXICO / BAJA CALIFORNIA SUR / LOS CABOS,-109.6092299,23.6186096
Pterodroma cookii,petrel de Cook,BAJA CALIFORNIA SUR,03,LA PAZ,03003,Los Barriles (pueblo),MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-109.6965458,23.6872167
Psittacara strenuus,perico centroamericano,CHIAPAS,07,HUIXTLA,07040,Ejido Tzinacal,MEXICO / CHIAPAS / HUIXTLA,-92.5678899,15.0574338
Psittacara holochlorus,perico mexicano,CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Psiloscops flammeolus,tecolote ojos oscuros,AGUASCALIENTES,01,CALVILLO,01003,Ciénega de Quijas,MEXICO / AGUASCALIENTES / CALVILLO,-102.7077162,21.7304679
Psilorhinus morio,"chara papán, chara pea",CAMPECHE,04,CALAKMUL,04010,"Oxpetun, Yaxché Campeche Conhuas-Calakmul Zona Arqueológica, Campeche, MX (18.534, -89.901)",MEXICO / CAMPECHE / CALAKMUL,-89.9012736,18.5338613
Pseudastur albicollis,aguililla blanca,CAMPECHE,04,CALKINI,04001,Reserva de la Biosfera Ría Celestún (Campeche),MEXICO / CAMPECHE / CALKINI,-90.4257202,20.502666
Psarocolius wagleri wagleri,oropéndola cabeza castaña,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal5,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3088056,16.1921111
Psarocolius wagleri,oropéndola cabeza castaña,CHIAPAS,07,OCOSINGO,07059,"(17.1261,-91.6348)",MEXICO / CHIAPAS / OCOSINGO,-91.634751,17.126146
Psarocolius montezuma,oropéndola de Moctezuma,CAMPECHE,04,CANDELARIA,04011,"Campeche, MX (17.989, -90.299)",MEXICO / CAMPECHE / CANDELARIA,-90.2985587,17.98888
Psaltriparus minimus,sastrecillo,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,3 km E La Congoja,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.53333,22.16667
Protonotaria citrea,chipe dorado,BAJA CALIFORNIA,02,ENSENADA,02001,Laguna de La Salina,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.8747804,32.056249
Progne tapera,golondrina pecho café,QUINTANA ROO,23,COZUMEL,23001,El Cedral (pueblo),MEXICO / QUINTANA ROO / COZUMEL,-86.9935226,20.3690898
Progne subis subis,golondrina azulnegra,BAJA CALIFORNIA,02,ENSENADA,02001,"LAGUNA HANSEN, SIERRA JUAREZ",MEXICO / BAJA CALIFORNIA,-115.91,32.0466667
Progne subis hesperia,golondrina azulnegra,BAJA CALIFORNIA,02,ENSENADA,02001,San Telmo,MEXICO / BAJA CALIFORNIA,-116.1683333,30.9616667
Progne subis,golondrina azulnegra,AGUASCALIENTES,01,CALVILLO,01003,"Los Alisos, Jaltiche, Calvillo",MEXICO / AGUASCALIENTES / CALVILLO,-102.6947021,21.8994111
Progne sinaloae,golondrina sinaloense,CHIHUAHUA,08,GUADALUPE Y CALVO,08029,SAN FELIZ,MEXICO / CHIHUAHUA / GUADALUPE Y CALVO,-107.162533,25.834354
Progne dominicensis,golondrina grande,YUCATAN,31,TEMAX,31084,Temacs,MEXICO / YUCATAN / TEMAX,-88.9383333,21.165
Progne chalybea chalybea,golondrina acerada,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Milpa a 3 km de la entrada de la desviación a Amatitlán,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3061944,16.1730278
Progne chalybea,"golondrina acerada, golondrina pecho gris",CAMPECHE,04,CAMPECHE,04002,Fuerte de San Miguel,MEXICO / CAMPECHE / CAMPECHE,-90.5685586,19.8241028
Porzana carolina,polluela sora,AGUASCALIENTES,01,AGUASCALIENTES,01001,"20340 Ags., México",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2986974,21.7188607
Porphyrio martinicus,gallineta morada,BAJA CALIFORNIA,02,ENSENADA,02001,"Ensenada -- Oficinas de ProEsteros, A.C.",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.628212,31.8680326
Pooecetes gramineus gramineus,gorrión cola blanca,TAMAULIPAS,28,MATAMOROS,28022,Matamoros,MEXICO / TAMAULIPAS,-97.5033333,25.8683333
Pooecetes gramineus confinis,gorrión cola blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,SANTO DOMINGO,MEXICO / BAJA CALIFORNIA,-115.9133333,30.7683333
Pooecetes gramineus affinis,gorrión cola blanca,BAJA CALIFORNIA,02,SAN QUINTIN,02006,2 MI NW CHAPALA,MEXICO / BAJA CALIFORNIA,-114.395,29.4166667
Pooecetes gramineus,gorrión cola blanca,AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Polioptila plumbea superciliaris,perlita tropical,GUERRERO,12,COYUCA DE BENITEZ,12021,"LAS POSAS, 7 MI N COYUCA",MEXICO / GUERRERO,-100.0833333,17.0333333
Polioptila plumbea brodkorbi,perlita tropical,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal4,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3091944,16.1926389
Polioptila nigriceps,perlita sinaloense,CHIHUAHUA,08,URIQUE,08065,Arroyo Hacienda,MEXICO / CHIHUAHUA / URIQUE,-107.9042645,27.1719477
Polioptila melanura,perlita del desierto,AGUASCALIENTES,01,SAN JOSE DE GRACIA,01008,Presa Calles - agu,MEXICO / AGUASCALIENTES / SAN JOSE DE GRACIA,-102.427433,22.161221
Polioptila californica,perlita californiana,BAJA CALIFORNIA,02,SAN QUINTIN,02006,10 MI E EL ROSARIO,MEXICO / BAJA CALIFORNIA,-115.5833333,30.065
Polioptila caerulea,perlita azulgris,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Polioptila bilineata,perlita tropical,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,San José del Cabo,MEXICO,-109.69,23.055
Polioptila albiventris,perlita yucateca,CAMPECHE,04,CALKINI,04001,MX - Campeche - Carreterra 4 several km S. of Celestun,MEXICO / CAMPECHE / CALKINI,-90.3978333,20.8446132
Polioptila albiloris vanrossemi,perlita pispirria,CHIAPAS,07,CINTALAPA,07017,"HDA MONSERRATE, 40 MI NW ARRIAGA",MEXICO / CHIAPAS,-93.9833333,16.5833333
Polioptila albiloris albiventris,perlita pispirria,YUCATAN,31,MERIDA,31050,"SAN IGNACIOS, 22 KM N MERIDA",MEXICO / YUCATAN,-89.6433333,21.1566667
Polioptila albiloris albiloris,perlita pispirria,OAXACA,20,CIUDAD IXTEPEC,20014,4 KM S CHIVELA,MEXICO / OAXACA,-95,16.67
Polioptila albiloris,perlita pispirria,CHIAPAS,07,TUXTLA GUTIERREZ,07101,MX Chiapas el Sumidero dry forest 2,MEXICO / CHIAPAS / TUXTLA GUTIERREZ,-93.09415,16.80234
Poecilotriccus sylvia,"espatulilla gris, mosquerito espatulilla gris",CAMPECHE,04,CALAKMUL,04010,Reserva de la Biosfera Calakmul--Zona Arqueológica Hormiguero,MEXICO / CAMPECHE / CALAKMUL,-89.4907236,18.4086194
Poecilostreptus cabanisi,tangara chiapaneca,CHIAPAS,07,CACAHOATAN,07015,Benito Juarez el Plan 026,MEXICO / CHIAPAS / CACAHOATAN,-92.14638,15.08608
Poecile sclateri sclateri,carbonero mexicano,CIUDAD DE MEXICO,09,TLALPAN,09012,"CERRO EL CAPULIN, AJUSCO",MEXICO / DISTRITO FEDERAL,-99.2666667,19.1483333
Poecile sclateri,carbonero mexicano,CHIHUAHUA,08,MADERA,08040,"MX-CHIH-Madera (29.3207,-108.1633)",MEXICO / CHIHUAHUA / MADERA,-108.163273,29.320693
Poecile gambeli,carbonero cejas blancas,BAJA CALIFORNIA,02,ENSENADA,02001,"Unnamed Road, Baja California, MX (32.043, -115.854)",MEXICO / BAJA CALIFORNIA / ENSENADA,-115.8542121,32.0432978
Podilymbus podiceps,zambullidor pico grueso,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Podiceps nigricollis,zambullidor orejón,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Podiceps grisegena,zambullidor cuello rojo,BAJA CALIFORNIA,02,ENSENADA,02001,Estero Punta Banda,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6373229,31.7079954
Podiceps auritus,zambullidor cornudo,BAJA CALIFORNIA,02,ENSENADA,02001,MX-BCN-Ensenada (Estero Punta Banda),MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6117318,31.7685622
Pluvialis squatarola,chorlo gris,BAJA CALIFORNIA,02,ENSENADA,02001,"Lengüeta Arenosa, B.C., México",MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6253194,31.7548583
Pluvialis fulva,"chorlo dorado del pacífico, chorlo fulvo",BAJA CALIFORNIA,02,SAN QUINTIN,02006,BCN - SE bay/wetland,MEXICO / BAJA CALIFORNIA / ENSENADA,-115.932317,30.4076294
Pluvialis dominica,"chorlo dominico, chorlo dorado americano",BAJA CALIFORNIA,02,PLAYAS DE ROSARITO,02005,Arroyo Rosarito--Desembocadura,MEXICO / BAJA CALIFORNIA / PLAYAS DE ROSARITO,-117.0537472,32.3312382
Plegadis falcinellus,ibis cara oscura,BAJA CALIFORNIA SUR,03,LA PAZ,03003,ENSENADA DE LA PAZ - AREA 7,MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-110.3464444,24.1059167
Plegadis chihi,"ibis cara blanca, ibis ojos rojos",AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Platyrinchus mystaceus,mosquero pico chato,CHIAPAS,07,OCOZOCOAUTLA DE ESPINOSA,07061,1 KM W OCOZOCUAUTLA,MEXICO / CHIAPAS,-93.3716667,16.76
Platyrinchus cancrominus timothei,mosquero pico chato,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Platyrinchus cancrominus cancrominus,mosquero pico chato,CHIAPAS,07,BERRIOZABAL,07012,"EL OCOTE, OCOZOCOAUTLA",MEXICO / CHIAPAS,-93.3516667,16.8866667
Platyrinchus cancrominus,"mosquerito pico chato, mosquero pico chato",CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Platalea ajaja,espátula rosada,BAJA CALIFORNIA SUR,03,MULEGE,03002,"Unnamed Road, Baja California Sur, MX (27.586, -114.112)",MEXICO / BAJA CALIFORNIA SUR / MULEGE,-114.1122989,27.5862419
Pitangus sulphuratus derbianus,luis bienteveo,CHIAPAS,07,MARAVILLA TENEJAPA,07115,RodulfoF10,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.30125,16.2028611
Pitangus sulphuratus,Luis bienteveo,AGUASCALIENTES,01,AGUASCALIENTES,01001,"Presa Los Parga, Cobos.",MEXICO / AGUASCALIENTES / AGUASCALIENTES,-102.2503138,21.8100119
Piranga rubra cooperi,tángara roja,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal2,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3097778,16.1940833
Piranga rubra,"piranga roja, tangara roja",AGUASCALIENTES,01,CALVILLO,01003,Sierra Fría - Entrada el Pinal,MEXICO / AGUASCALIENTES / CALVILLO,-102.740156,22.029854
Piranga roseogularis,"piranga yucateca, tangara yucateca",CAMPECHE,04,CALAKMUL,04010,Side road from 186,MEXICO / CAMPECHE / CALAKMUL,-89.8877486,18.537651
Piranga olivacea,"piranga escarlata, tangara escarlata",BAJA CALIFORNIA,02,ENSENADA,02001,Las Arboledas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6165565,31.8839484
Piranga ludoviciana,"piranga capucha roja, tangara capucha roja",AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Piranga leucoptera leucoptera,tángara ala blanca,CHIAPAS,07,LA TRINITARIA,07099,"RANCHO SANTA ROSA, 50 KM ESE COMITAN",MEXICO / CHIAPAS,-92,15.8783333
Piranga leucoptera,"piranga alas blancas, tangara ala blanca",CHIAPAS,07,TONALA,07097,Reserva de la Biosfera La Sepultura,MEXICO / CHIAPAS / TONALA,-93.646946,16.1749128
Piranga flava hepatica,piranga aguacatera de la altiplanicie,BAJA CALIFORNIA,02,SAN QUINTIN,02006,"SAN PEDRO MARTIR, 1 MI SUR LA JOYA",MEXICO / BAJA CALIFORNIA,-115.5833333,31
Piranga flava,"piranga encinera, tangara encinera",AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Piranga erythrocephala,"piranga cabeza roja, tangara cabeza roja",CHIHUAHUA,08,URIQUE,08065,Rio Cuiteco,MEXICO / CHIHUAHUA / URIQUE,-108.0394321,27.4264324
Piranga bidentata sanguinolenta,tángara dorso rayado,CHIAPAS,07,MARAVILLA TENEJAPA,07115,Cafetal5,MEXICO / CHIAPAS / MARAVILLA TENEJAPA,-91.3088056,16.1921111
Piranga bidentata,"piranga dorso rayado, tangara dorso rayado",AGUASCALIENTES,01,RINCON DE ROMOS,01007,PAbellon de SAn Blass,MEXICO / AGUASCALIENTES / RINCON DE ROMOS,-102.3505211,22.1796162
Pipilo ocai,"rascador de collar, toquí de collar",CIUDAD DE MEXICO,09,TLALPAN,09012,"CUERNAVACA, 10 MI. N.",MEXICO / DISTRITO FEDERAL,-99.235,19.1416667
Pipilo maculatus,"rascador moteado, toquí moteado",AGUASCALIENTES,01,CALVILLO,01003,Sierra Fría - Entrada el Pinal,MEXICO / AGUASCALIENTES / CALVILLO,-102.740156,22.029854
Pipilo erythrophthalmus,toquí pinto,AGUASCALIENTES,01,CALVILLO,01003,Sierra Calvillo,MEXICO / AGUASCALIENTES,-102.7,21.75
Pipilo chlorurus,"rascador cola verde, toquí cola verde",AGUASCALIENTES,01,RINCON DE ROMOS,01007,San Jacinto,MEXICO / AGUASCALIENTES,-102.233884,22.348508
Pionus senilis,loro corona blanca,CAMPECHE,04,CALAKMUL,04010,Nuevo Becal 0.5 Km al Sureste,MEXICO / CAMPECHE / CALAKMUL,-89.3008333,18.605
Piaya cayana thermophila,cuclillo canela,CAMPECHE,04,CANDELARIA,04011,PACAITUN,MEXICO / CAMPECHE,-91.0833333,18.2166667
Piaya cayana mexicana,cuclillo canela,COLIMA,06,COLIMA,06002,Colima,MEXICO / COLIMA,-103.7216667,19.24
Piaya cayana,"cuclillo canela, cuclillo canelo",CAMPECHE,04,CHAMPOTON,04004,Carretera 180/Ciudad del Carmen-Champoton,MEXICO / CAMPECHE / CHAMPOTON,-91.0811126,19.0654622
Phylloscopus inornatus,mosquitero cejas amarillas,BAJA CALIFORNIA SUR,03,LOS CABOS,03008,"miraflores, baja california sur",MEXICO / BAJA CALIFORNIA SUR / LA PAZ,-109.778397,23.362384
Phylloscopus fuscatus,"chipe sombrío, mosquitero sombrío",BAJA CALIFORNIA,02,SAN QUINTIN,02006,Cataviña (pueblo),MEXICO / BAJA CALIFORNIA / ENSENADA,-114.7220707,29.7325204
Phylloscopus borealis,mosquitero Ártico,BAJA CALIFORNIA SUR,03,MULEGE,03002,"PUNTA EUGENIA, O GUERRERO NEGRO (EN EL RANCHO SAN MIGUEL)",MEXICO / BAJA CALIFORNIA SUR,-115.0833333,27.8466667
Phoenicopterus ruber,flamenco americano,CAMPECHE,04,CALKINI,04001,"Unnamed Road, Celestún, Campeche, MX (20.845, -90.401)",MEXICO / CAMPECHE / CALKINI,-90.4011569,20.8445518
Phoebastria nigripes,albatros patas negras,BAJA CALIFORNIA,02,ENSENADA,02001,ENSENADA (0FF),MEXICO / BAJA CALIFORNIA,-116.605,31.8583333
Phoebastria immutabilis,albatros de Laysan,BAJA CALIFORNIA,02,SAN QUINTIN,02006,,MEXICO,-112.8,28.1666666
Phoebastria albatrus,albatros rabón,BAJA CALIFORNIA,02,SAN QUINTIN,02006,BAHIA ROSARIO,MEXICO / BAJA CALIFORNIA,-115.6916667,29.8916667
Philortyx fasciatus,"codorniz barrada, codorniz rayada",COLIMA,06,COLIMA,06002,"Arboledas del Carmen, Villa de Álvarez, COL, MX",MEXICO / COLIMA / COLIMA,-103.7233342,19.2674184
Pheugopedius rutilus,chivirín moteado,TAMAULIPAS,28,NUEVO MORELOS,28028,"6MI EAST OF EL NARANJO, S.L.P.",MEXICO / TAMAULIPAS,-99.2066667,22.5383333
Pheugopedius maculipectus,"chivirín moteado, saltapared moteado",CAMPECHE,04,CALAKMUL,04010,"Calakmul Municipality, Campeche, Mexico",MEXICO / CAMPECHE / CALAKMUL,-89.536081,18.3656923
Pheugopedius felix lawrencii,chivirín feliz,SINALOA,25,CONCORDIA,25004,Copala,MEXICO / SINALOA,-105.9133333,23.3933333
Pheugopedius felix,"chivirín feliz, saltapared feliz",CHIAPAS,07,BERRIOZABAL,07012,12 KM N POR CARR. BERRIOZABAL,MEXICO / CHIAPAS,-93.2966667,16.895
Pheucticus melanocephalus,picogordo tigrillo,AGUASCALIENTES,01,CALVILLO,01003,Sierra Fría - Entrada el Pinal,MEXICO / AGUASCALIENTES / CALVILLO,-102.740156,22.029854
Pheucticus ludovicianus,"picogordo degollado, picogordo pecho rosa",BAJA CALIFORNIA,02,ENSENADA,02001,Las Arboledas,MEXICO / BAJA CALIFORNIA / ENSENADA,-116.6165565,31.8839484
Pheucticus chrysopeplus dilutus,picogordo amarillo,SONORA,26,ALAMOS,26003,"ALAMOS, 5 MI W DE; ADUANA",MEXICO / SONORA,-109,27.045
Pheucticus chrysopeplus,picogordo amarillo,CHIAPAS,07,UNION JUAREZ,07105,Camino Talquian-Chiquihuites,MEXICO / CHIAPAS / UNION JUAREZ,-92.085257,15.086542
Phasianus colchicus,faisán de collar,BAJA CALIFORNIA,02,MEXICALI,02002,"Guadalupe Victoria, Baja California, MX (32.255, -115.047)",MEXICO / BAJA CALIFORNIA / MEXICALI,-115.0474958,32.2553675
Pharomachrus mocinno,quetzal mesoamericano,CHIAPAS,07,ANGEL ALBINO CORZO,07008,El Triunfo,MEXICO / CHIAPAS / ANGEL ALBINO CORZO,-92.7981877,15.6666916
