generovalido
Cyclarhis
Cygnus
Cynanthus
Cypseloides
Cyrtonyx
Dactylortyx
Dendrocincla
Dendrocolaptes
Dendrocopos
Dendrocygna
Dendrortyx
Diglossa
Diomedea
Dives
Dolichonyx
Doricha
Dromococcyx
Dryobates
Dryocopus
Dumetella
Dysithamnus
Ectopistes
Egretta
Elaenia
Elanoides
Elanus
Electron
Elliotomyia
Emberiza
Empidonax
Eremophila
Eucometis
Eudocimus
Eugenes
Eumomota
Euphagus
Eupherusa
Euphonia
Eupsittula
Euptilotis
Eurypyga
Falco
Florisuga
Formicarius
Forpus
Fratercula
Fregata
Fulica
Fulmarus
Galbula
Gallinago
Gallinula
Gallus
Gavia
Gelochelidon
Geococcyx
Geothlypis
Geotrygon
Geranoaetus
Geranospiza
Glaucidium
Glyphorynchus
Grallaria
Granatellus
Grus
Gygis
Gymnogyps
Gymnorhinus
Habia
Haematopus
Haemorhous
Haliaeetus
Hapalocrex
Haplospiza
Harpagus
Harpia
Heliomaster
Heliornis
Heliothryx
Helmitheros
Henicorhina
Herpetotheres
Himantopus
Hirundo
Histrionicus
Hydrobates
Hydrocoloeus
Hydroprogne
Hydropsalis
Hylocichla
Hylomanes
Hylorchilus
Ibycter
Icteria
Icterus
Ictinia
Ixobrychus
Ixoreus
Jabiru
Jacana
Junco
Lampornis
Lamprolaima
Lanio
Laniocera
Lanius
Larus
Laterallus
Legatus
Leiothlypis
Lepidocolaptes
Leptodon
Leptopogon
Leptotila
Lesbia
Leucolia
Leuconotopicus
Leucophaeus
Limnodromus
Limnothlypis
Limosa
Lipaugus
Lonchura
Lophodytes
Lophornis
Lophostrix
Loxia
Lurocalis
Malacoptila
Manacus
Mareca
Megaceryle
Megarynchus
Megascops
Melanerpes
Melanitta
Melanoptila
Melanotis
Meleagris
Melopsittacus
Melospiza
Melozone
Mergus
Micrastur
Micrathene
Microcerculus
Microrhopias
Mimus
Mionectes
Mitrephanes
Mniotilta
Molothrus
Momotus
Morococcyx
Morphnus
Morus
Motacilla
Myadestes
Mycteria
Myiagra
Myiarchus
Myiobius
Myioborus
Myiodynastes
Myiopagis
Myiopsitta
Myiozetetes
Myrmotherula
Nannopterum
Nomonyx
Notharchus
Nucifraga
Numenius
Numida
Nyctanassa
Nyctibius
Nycticorax
Nyctidromus
Nyctiphrynus
Nymphicus
Oceanites
Ocreatus
Odontophorus
Oenanthe
Ognorhynchus
Oncostoma
Onychoprion
Onychorhynchus
Oporornis
Oreophasis
Oreortyx
Oreoscoptes
Oreothlypis
Oriturus
Ornithion
Ortalis
Otus
Oxyura
Pachyramphus
Pachysylvia
Pampa
Pandion
Panyptila
Parabuteo
Paraclaravis
Pardirallus
Parkesia
Parus
Passer
Passerculus
Passerella
Passerina
Patagioenas
Pavo
Pelecanus
Penelope
Penelopina
Petrochelidon
Peucaea
Peucedramus
Phaeochroa
Phaeoptila
Phaethon
Phaethornis
Phainopepla
Phalacrocorax
Phalaenoptilus
Phalaropus
Pharomachrus
Phasianus
Pheucticus
Pheugopedius
Philortyx
Phoebastria
Phoenicopterus
Phylloscopus
Piaya
Picoides
Pionus
Pipilo
Piranga
Pitangus
Platalea
Platycercus
Platyrinchus
Plegadis
Pluvialis
Podargus
Podiceps
Podilymbus
Poecile
Poecilostreptus
Poecilotriccus
Polioptila
Pooecetes
Porphyrio
Porzana
Procellaria
Progne
Protonotaria
Psaltriparus
Psarocolius
Psephotus
Pseudastur
Pseudobulweria
Psilorhinus
Psiloscops
Psittacara
Psittacula
Pterodroma
Pteroglossus
Ptiliogonys
Ptychoramphus
Puffinus
Pulsatrix
Pygochelidon
Pyrilia
Pyrocephalus
Quelea
Quiscalus
Rallus
Ramosomyia
Ramphastos
Ramphocaenus
Ramphocelus
Ramphotrigon
Recurvirostra
Regulus
Rhodinocichla
Rhodothraupis
Rhopodytes
Rhynchocyclus
Rhynchophanes
Rhynchopsitta
Rhytipterna
Ridgwayia
Riparia
Rissa
Rostrhamus
Rupornis
Rynchops
Salpinctes
Saltator
Sarcoramphus
Saucerottia
Sayornis
Schiffornis
Sclerurus
Scolopax
Seiurus
Selasphorus
Serinus
Setophaga
Sialia
Sicalis
Sitta
Sittasomus
Spatula
Sphyrapicus
Spindalis
Spinus
Spiza
Spizaetus
Spizella
Sporophila
Starnoenas
Stelgidopteryx
Stercorarius
Sterna
Sternula
Stilpnia
Streptopelia
Streptoprocne
Strix
Sturnella
Sturnus
Sula
Synallaxis
Synthliboramphus
Tachybaptus
Tachycineta
Taeniopygia
Tangara
Tapera
Taraba
Tarsiger
Terenotriccus
Thalasseus
Thalurania
Thamnistes
Thamnophilus
Thraupis
Thryomanes
Thryophilus
Thryothorus
Tiaris
Tigrisoma
Tilmatura
Tinamus
Tityra
Todirostrum
Tolmomyias
Toxostoma
Tringa
Troglodytes
Trogon
Tunchiornis
Turdus
Tyrannus
Tyto
Uria
Urile
Uropsila
Vanellus
Vermivora
Vireo
Vireolanius
Volatinia
Xanthocephalus
Xanthopsar
Xema
Xenops
Xenospiza
Xenotriccus
Xenus
Xiphocolaptes
Xiphorhynchus
Zenaida
Zentrygon
Zimmerius
Zonotrichia
