nombrecomun,TOTAL_RECORDED_SPECIES_BY_COMMON_NAME
"chivirín de Carolina, saltapared de carolina",14284
"rascador californiano, toquí californiano",14204
"chivirín pecho blanco, saltapared pecho blanco",14202
tucancillo collarejo,14038
"colibrí opaco, colibrí oscuro",14022
chipe arroyero,13976
chara de collar,13968
tordo cabeza amarilla,13852
chorlo pico grueso,13776
"bisbita de agua, bisbita norteamericana",13688
chipe peregrino,13680
vireo de Cassin,13612
"chivirín saltarroca, saltapared de rocas",13592
aguililla de Swainson,13510
alondra cornuda,13502
colibrí corona azul,13476
"piranga dorso rayado, tangara dorso rayado",13416
costurero pico corto,13400
"rascador nuca canela, rascador nuca rufa",13310
charrán elegante,13304
"pradero del oeste, pradero occidental",13180
tinamú canelo,13014
gavilán caracolero,12970
carbonero cresta negra,12916
pato real,12814
aguililla rojinegra,12688
azulejo garganta azul,12674
"jilguerito encapuchado, jilguero encapuchado",12640
reinita mielera,12504
chipe playero,12484
papamoscas fibí,12452
"rascador cola verde, toquí cola verde",12394
"colibrí cola canela, colibrí cola rojiza",12384
rascón nuca canela,12366
chara pecho gris,12358
búho café,12198
pato de collar,12194
gallineta morada,12184
"carpintero albinegro mayor, carpintero velloso-mayor",12154
picogordo amarillo,11990
chorlo nevado,11956
golondrina pueblera,11864
"colibrí picudo, colibrí picudo occidental",11846
achichilique pico amarillo,11784
gorrión chingolo,11752
"chivirín pecho gris, saltapared pecho gris",11688
pato monja,11616
gorrión cola blanca,11614
"verdillo gris, vireocillo cabeza gris",11572
loro corona blanca,11566
"atlapetes gorra castaña, rascador gorra castaña",11498
playero solitario,11488
"papamoscas tropical, pibí tropical",11470
flamenco americano,11468
colibrí barba negra,11410
codorniz cotuí,11394
"zacatonero rayado, zacatonero serrano",11204
"mosquero gris, papamoscas bajacolita",11164
vireo garganta amarilla,11138
"papamoscas del este, pibí oriental",11134
gaviota plateada,11078
"cuicacoche bajacaliforniano, cuitlacoche peninsular",11070
"coa de collar, trogón de collar",11008
colibrí garganta negra,10966
"piranga hormiguera corona roja, tangara-hormiguera corona roja",10896
cormorán de Brandt,10838
"bolsero capucha negra, calandria caperuza negra",10832
vireo yucateco,10756
"paloma de collar, paloma encinera",10660
"carpintero collarejo, carpintero de pechera del noroeste",10600
lechuza de campanario,10512
"jilguerito pinero, jilguero pinero",10482
"mosquero oscuro, papamoscas matorralero",10250
papamoscas viajero,10164
garza cucharón,10160
codorniz cresta dorada,10122
"chivirín barrado, saltapared barrado",10106
"polluela canela, polluela rojiza",10084
matraca serrana,10082
"colimbo común, colimbo mayor",10048
colibrí orejas violetas,10046
"colorín lázuli, colorín pecho canela",10044
"zumbador canelo, zumbador rufo",10042
"trepatroncos escarchado, trepatroncos mexicano",10026
zumbador cola ancha,9980
mergo copetón,9860
búho cornudo,9842
vencejo pecho blanco,9716
"chipe de roca, pavito de rocas",9590
pato cabeza roja,9580
"mosquero vientre amarillo, papamoscas vientre amarillo",9502
"mosquerito pico curvo, mosquero pico curvo",9456
aguililla cola blanca,9414
pato pico anillado,9406
perico mexicano,9402
guacamaya verde,9396
"piranga alas blancas, tangara ala blanca",9256
rascador dorso verde,9158
trepatroncos corona punteada,9072
codorniz yucateca,9064
"espatulilla amarillo, mosquerito espatulilla común",9062
tecolote llanero,9008
playero dorso rojo,8938
martín pescador amazónico,8928
"tucancillo verde, tucaneta verde",8888
milano de Mississippi,8850
cuervo llanero,8806
"bolsero dorso dorado, calandria dorso amarillo",8776
charrán pico grueso,8624
"zafiro bajacaliforniano, zafiro de Xantus",8618
momoto corona azul,8546
correcaminos tropical,8530
chipe cejas amarillas,8522
perlita del desierto,8474
arrocero americano,8466
colibrí garganta amatista,8430
perlita californiana,8390
"carpintero del balsas, carpintero pecho gris",8384
gorrión barba negra,8292
"elenia vientre amarillo, mosquero elenia copetón",8282
perlita pispirria,8268
golondrina azulnegra,8266
